Subject,Grade,QuestionText,Description,questionType,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 3,Summarize this passage in three or four sentences. Include the main idea and key details.,Write a summary.,ShortAnswer,158,2,CCSS.ELA-LITERACY.RI.3.2,Summarize,CCSS.ELA.CCR.R.2
English,Grade 3,What does the word determine mean in this sentence? How did you figure it out?,Use context to determine meaning.,ShortAnswer,165,2,CCSS.ELA-LITERACY.L.3.4,Context clues,CCSS.ELA.CCR.L.4
English,Grade 3,Why do you think the author used bold print for that word? Explain.,Author craft and structure.,ShortAnswer,168,2,CCSS.ELA-LITERACY.RI.3.5,Text features,CCSS.ELA.CCR.R.5
English,Grade 3,What is the difference between the two characters' opinions? Use evidence.,Compare perspectives.,ShortAnswer,170,3,CCSS.ELA-LITERACY.RL.3.9,Compare and contrast,CCSS.ELA.CCR.R.9
English,Grade 3,Describe the steps in the process explained in this text.,Sequence and explain.,ShortAnswer,156,2,CCSS.ELA-LITERACY.RI.3.3,Sequence,CCSS.ELA.CCR.R.3
English,Grade 3,What is the author's message? Do you agree? Explain.,Evaluate and respond.,ShortAnswer,172,3,CCSS.ELA-LITERACY.RI.3.8,Author message,CCSS.ELA.CCR.R.8
English,Grade 3,How does the character's action affect the plot? Explain cause and effect.,Cause and effect in plot.,ShortAnswer,164,2,CCSS.ELA-LITERACY.RL.3.3,Plot and character,CCSS.ELA.CCR.R.3
English,Grade 4,What is the theme of this story? Provide at least two pieces of evidence from the text.,Theme with evidence.,ShortAnswer,185,2,CCSS.ELA-LITERACY.RL.4.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 4,Describe the overall structure of this text (e.g. chronology comparison cause/effect).,Identify text structure.,ShortAnswer,182,2,CCSS.ELA-LITERACY.RI.4.5,Text structure,CCSS.ELA.CCR.R.5
English,Grade 4,What is the difference between first-person and third-person narration? Which does this story use?,Point of view and narration.,ShortAnswer,188,2,CCSS.ELA-LITERACY.RL.4.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 4,Summarize this text in your own words. Include the main idea and the most important details.,Summarize informational text.,ShortAnswer,180,2,CCSS.ELA-LITERACY.RI.4.2,Summary,CCSS.ELA.CCR.R.2
English,Grade 4,What does the phrase mean in this context? How do context clues help you?,Interpret phrases and context.,ShortAnswer,190,2,CCSS.ELA-LITERACY.L.4.4,Word meaning,CCSS.ELA.CCR.L.4
English,Grade 4,Explain how the author uses reasons and evidence to support a point.,Analyze argument.,ShortAnswer,192,3,CCSS.ELA-LITERACY.RI.4.8,Reasons and evidence,CCSS.ELA.CCR.R.8
English,Grade 4,Compare and contrast the treatment of the same theme in two texts.,Compare themes across texts.,ShortAnswer,195,3,CCSS.ELA-LITERACY.RL.4.9,Compare themes,CCSS.ELA.CCR.R.9
English,Grade 4,What is the main idea of the first paragraph? How does it connect to the rest of the passage?,Main idea and connections.,ShortAnswer,178,2,CCSS.ELA-LITERACY.RI.4.2,Main idea,CCSS.ELA.CCR.R.2
English,Grade 4,Describe how the character responds to the challenge. What does this show about them?,Character response to events.,ShortAnswer,186,2,CCSS.ELA-LITERACY.RL.4.3,Character and events,CCSS.ELA.CCR.R.3
English,Grade 4,Why might the author have chosen to write this as a poem rather than a paragraph? Explain.,Author choice of form.,ShortAnswer,198,3,CCSS.ELA-LITERACY.RL.4.5,Form and structure,CCSS.ELA.CCR.R.5
English,Grade 5,Determine the theme of this story. How is it developed through the characters and plot?,Theme development.,ShortAnswer,210,3,CCSS.ELA-LITERACY.RL.5.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 5,Compare and contrast the narrator's point of view with another character's point of view.,Multiple points of view.,ShortAnswer,208,3,CCSS.ELA-LITERACY.RL.5.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 5,Explain how the author uses reasons and evidence to support particular points. Which evidence is strongest?,Evaluate evidence.,ShortAnswer,212,3,CCSS.ELA-LITERACY.RI.5.8,Reasons and evidence,CCSS.ELA.CCR.R.8
English,Grade 5,Summarize the text. What is the main idea and how do the key details support it?,Summarize with main idea.,ShortAnswer,205,2,CCSS.ELA-LITERACY.RI.5.2,Summary,CCSS.ELA.CCR.R.2
English,Grade 5,What does this metaphor mean? How does it affect the meaning of the passage?,Interpret figurative language.,ShortAnswer,215,3,CCSS.ELA-LITERACY.L.5.5,Figurative language,CCSS.ELA.CCR.L.5
English,Grade 5,How do the chapters or sections contribute to the overall structure and development of ideas?,Structure and development.,ShortAnswer,218,3,CCSS.ELA-LITERACY.RI.5.5,Text structure,CCSS.ELA.CCR.R.5
English,Grade 5,Analyze how the author develops the character through thoughts words and actions.,Character development.,ShortAnswer,220,3,CCSS.ELA-LITERACY.RL.5.3,Character analysis,CCSS.ELA.CCR.R.3
English,Grade 5,What is the relationship between two or more ideas in the text? Explain.,Idea relationships.,ShortAnswer,213,3,CCSS.ELA-LITERACY.RI.5.3,Ideas and concepts,CCSS.ELA.CCR.R.3
English,Grade 5,How does the author's use of dialogue affect the tone and meaning?,Author craft.,ShortAnswer,222,3,CCSS.ELA-LITERACY.RL.5.4,Tone and meaning,CCSS.ELA.CCR.R.4
English,Grade 5,Draw on information from multiple sources to explain a topic. What do the sources agree or disagree on?,Integrate multiple sources.,ShortAnswer,225,3,CCSS.ELA-LITERACY.RI.5.9,Multiple sources,CCSS.ELA.CCR.R.9
English,Grade 6,Determine a theme and how it is conveyed through details. Cite evidence from the text.,Theme and evidence.,ShortAnswer,235,3,CCSS.ELA-LITERACY.RL.6.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 6,Describe how the author develops the point of view of the narrator or speaker.,Point of view development.,ShortAnswer,238,3,CCSS.ELA-LITERACY.RL.6.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 6,Trace how the author develops the central idea. What details support it?,Central idea development.,ShortAnswer,232,3,CCSS.ELA-LITERACY.RI.6.2,Central idea,CCSS.ELA.CCR.R.2
English,Grade 6,What is the author's purpose? How does the author's style or structure support that purpose?,Author purpose and craft.,ShortAnswer,240,3,CCSS.ELA-LITERACY.RI.6.6,Author purpose,CCSS.ELA.CCR.R.6
English,Grade 6,Determine the meaning of a word as it is used in the text. What context clues did you use?,Word meaning in context.,ShortAnswer,236,2,CCSS.ELA-LITERACY.L.6.4,Vocabulary,CCSS.ELA.CCR.L.4
English,Grade 6,Compare and contrast how different genres approach the same theme or topic.,Genre and theme.,ShortAnswer,245,3,CCSS.ELA-LITERACY.RL.6.9,Compare genres,CCSS.ELA.CCR.R.9
English,Grade 6,How does the author distinguish their position from that of others? Explain.,Author position.,ShortAnswer,242,3,CCSS.ELA-LITERACY.RI.6.6,Author perspective,CCSS.ELA.CCR.R.6
English,Grade 6,Analyze how a particular section fits into the overall structure and contributes to the development of ideas.,Structure and development.,ShortAnswer,248,3,CCSS.ELA-LITERACY.RI.6.5,Text structure,CCSS.ELA.CCR.R.5
English,Grade 6,What can you infer about the character from their actions and words? Support with evidence.,Inference and evidence.,ShortAnswer,244,3,CCSS.ELA-LITERACY.RL.6.1,Inference,CCSS.ELA.CCR.R.1
English,Grade 6,Evaluate the argument. Are the claims supported by reasons and evidence? Explain.,Evaluate argument.,ShortAnswer,250,3,CCSS.ELA-LITERACY.RI.6.8,Argument evaluation,CCSS.ELA.CCR.R.8
English,Grade 7,Analyze how the author develops and contrasts the points of view of different characters or narrators.,Multiple perspectives.,ShortAnswer,260,3,CCSS.ELA-LITERACY.RL.7.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 7,Determine the theme. How is it developed over the course of the text? Cite evidence.,Theme development.,ShortAnswer,255,3,CCSS.ELA-LITERACY.RL.7.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 7,Trace the argument. How does the author acknowledge and respond to conflicting viewpoints?,Argument and counterargument.,ShortAnswer,262,3,CCSS.ELA-LITERACY.RI.7.8,Argument,CCSS.ELA.CCR.R.8
English,Grade 7,Analyze how the form or structure of a text contributes to its meaning and style.,Form and meaning.,ShortAnswer,258,3,CCSS.ELA-LITERACY.RL.7.5,Form and structure,CCSS.ELA.CCR.R.5
English,Grade 7,What is the central idea? How do two or more ideas interact and develop over the course of the text?,Central idea and interaction.,ShortAnswer,265,3,CCSS.ELA-LITERACY.RI.7.2,Central idea,CCSS.ELA.CCR.R.2
English,Grade 7,Compare a written story to its filmed version. What is the effect of the techniques used in each medium?,Compare media.,ShortAnswer,268,3,CCSS.ELA-LITERACY.RL.7.7,Multimedia,CCSS.ELA.CCR.R.7
English,Grade 7,Determine the meaning of words and phrases including figurative and connotative. How do they affect tone?,Word meaning and tone.,ShortAnswer,270,3,CCSS.ELA-LITERACY.L.7.5,Figurative language,CCSS.ELA.CCR.L.5
English,Grade 7,How does the author develop the claim? What evidence is used? Is it sufficient?,Claim and evidence.,ShortAnswer,272,3,CCSS.ELA-LITERACY.RI.7.8,Claim development,CCSS.ELA.CCR.R.8
English,Grade 7,Analyze how particular elements of a story interact (e.g. setting shapes character).,Story elements.,ShortAnswer,266,3,CCSS.ELA-LITERACY.RL.7.3,Story elements,CCSS.ELA.CCR.R.3
English,Grade 7,Compare and contrast a fictional portrayal with a historical account of the same period.,Fiction and history.,ShortAnswer,275,3,CCSS.ELA-LITERACY.RL.7.9,Compare fiction and history,CCSS.ELA.CCR.R.9
English,Grade 8,Analyze how differences in points of view create effects such as suspense or humor.,Point of view effects.,ShortAnswer,285,3,CCSS.ELA-LITERACY.RL.8.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 8,Determine a theme and analyze its development including its relationship to characters setting and plot.,Theme analysis.,ShortAnswer,282,3,CCSS.ELA-LITERACY.RL.8.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 8,Delineate and evaluate the argument. Assess whether the reasoning is sound and the evidence is relevant.,Evaluate argument.,ShortAnswer,288,3,CCSS.ELA-LITERACY.RI.8.8,Argument evaluation,CCSS.ELA.CCR.R.8
English,Grade 8,Analyze how a text makes connections among ideas. How does the structure contribute to the ideas?,Ideas and structure.,ShortAnswer,278,3,CCSS.ELA-LITERACY.RI.8.3,Ideas and structure,CCSS.ELA.CCR.R.3
English,Grade 8,Interpret figures of speech in context. How do they affect meaning and tone?,Figurative language.,ShortAnswer,290,3,CCSS.ELA-LITERACY.L.8.5,Figurative language,CCSS.ELA.CCR.L.5
English,Grade 8,Compare and contrast the structure of two texts and analyze how the structure contributes to meaning.,Compare structure.,ShortAnswer,292,3,CCSS.ELA-LITERACY.RI.8.5,Text structure,CCSS.ELA.CCR.R.5
English,Grade 8,Analyze how particular lines of dialogue or incidents propel the action or reveal character.,Dialogue and plot.,ShortAnswer,286,3,CCSS.ELA-LITERACY.RL.8.3,Plot and character,CCSS.ELA.CCR.R.3
English,Grade 8,Determine the central idea and analyze its development. Include a summary of the text.,Central idea and summary.,ShortAnswer,284,3,CCSS.ELA-LITERACY.RI.8.2,Central idea,CCSS.ELA.CCR.R.2
English,Grade 8,Analyze the extent to which a filmed version stays faithful to the text. What is the effect of any changes?,Text and film.,ShortAnswer,295,3,CCSS.ELA-LITERACY.RL.8.7,Text and film,CCSS.ELA.CCR.R.7
English,Grade 8,Analyze how a modern work of fiction draws on themes or patterns from myths or traditional stories.,Modern and traditional.,ShortAnswer,298,3,CCSS.ELA-LITERACY.RL.8.9,Theme patterns,CCSS.ELA.CCR.R.9
English,Grade 9,Analyze how the author unfolds an analysis or series of ideas. What is the order and how does it build?,Analysis development.,ShortAnswer,308,3,CCSS.ELA-LITERACY.RI.9-10.3,Ideas development,CCSS.ELA.CCR.R.3
English,Grade 9,Determine the theme. Analyze how it is refined by specific details. Cite evidence.,Theme and details.,ShortAnswer,305,3,CCSS.ELA-LITERACY.RL.9-10.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 9,Analyze how the author's choices concerning structure create effects such as mystery or tension.,Structure and effect.,ShortAnswer,310,3,CCSS.ELA-LITERACY.RL.9-10.5,Structure,CCSS.ELA.CCR.R.5
English,Grade 9,Analyze how the author develops a point of view or purpose. What rhetoric is used?,Author purpose and rhetoric.,ShortAnswer,312,3,CCSS.ELA-LITERACY.RI.9-10.6,Author purpose,CCSS.ELA.CCR.R.6
English,Grade 9,Determine the meaning of words and phrases including figurative connotative and technical. How do they shape meaning?,Word meaning.,ShortAnswer,315,3,CCSS.ELA-LITERACY.L.9-10.5,Vocabulary,CCSS.ELA.CCR.L.5
English,Grade 9,Analyze how an author draws on and transforms source material. What is the effect?,Source material.,ShortAnswer,318,3,CCSS.ELA-LITERACY.RL.9-10.9,Source material,CCSS.ELA.CCR.R.9
English,Grade 9,Delineate and evaluate the argument. Assess whether the reasoning is valid and the evidence is sufficient.,Argument evaluation.,ShortAnswer,320,3,CCSS.ELA-LITERACY.RI.9-10.8,Argument,CCSS.ELA.CCR.R.8
English,Grade 9,Analyze how complex characters develop and interact with others. How do they advance the plot or theme?,Character and plot.,ShortAnswer,314,3,CCSS.ELA-LITERACY.RL.9-10.3,Character,CCSS.ELA.CCR.R.3
English,Grade 9,Determine the central idea. Analyze how it is developed and refined by specific details.,Central idea analysis.,ShortAnswer,306,3,CCSS.ELA-LITERACY.RI.9-10.2,Central idea,CCSS.ELA.CCR.R.2
English,Grade 9,Analyze the representation of a subject in two different artistic mediums. What is emphasized or absent?,Multiple mediums.,ShortAnswer,322,3,CCSS.ELA-LITERACY.RL.9-10.7,Multiple mediums,CCSS.ELA.CCR.R.7
English,Grade 10,Analyze how an author's ideas or claims are developed and refined by particular sentences paragraphs or larger portions of a text.,Claims development.,ShortAnswer,330,3,CCSS.ELA-LITERACY.RI.9-10.5,Claims,CCSS.ELA.CCR.R.5
English,Grade 10,Analyze how the author unfolds an analysis. What is the order and how does it build?,Analysis structure.,ShortAnswer,328,3,CCSS.ELA-LITERACY.RI.9-10.3,Analysis,CCSS.ELA.CCR.R.3
English,Grade 10,Determine the theme. Analyze how it emerges and is shaped by specific details. Cite evidence.,Theme emergence.,ShortAnswer,332,3,CCSS.ELA-LITERACY.RL.9-10.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 10,Analyze how point of view or purpose shapes content and style. What rhetoric is used?,Point of view and rhetoric.,ShortAnswer,335,3,CCSS.ELA-LITERACY.RI.9-10.6,Point of view,CCSS.ELA.CCR.R.6
English,Grade 10,Analyze the impact of the author's choices regarding how to develop and relate elements of a story.,Author choices.,ShortAnswer,338,3,CCSS.ELA-LITERACY.RL.9-10.5,Author choices,CCSS.ELA.CCR.R.5
English,Grade 10,Determine the meaning of words and phrases as they are used in the text including figurative and connotative.,Word meaning in text.,ShortAnswer,340,3,CCSS.ELA-LITERACY.L.9-10.5,Vocabulary,CCSS.ELA.CCR.L.5
English,Grade 10,Analyze how the author structures the text. How do the sections contribute to the whole?,Text structure.,ShortAnswer,336,3,CCSS.ELA-LITERACY.RI.9-10.5,Structure,CCSS.ELA.CCR.R.5
English,Grade 10,Analyze how complex characters develop and interact. How do they advance plot or theme?,Character development.,ShortAnswer,334,3,CCSS.ELA-LITERACY.RL.9-10.3,Character,CCSS.ELA.CCR.R.3
English,Grade 10,Delineate and evaluate the argument. Assess the validity of reasoning and relevance of evidence.,Evaluate argument.,ShortAnswer,342,3,CCSS.ELA-LITERACY.RI.9-10.8,Argument,CCSS.ELA.CCR.R.8
English,Grade 10,Analyze how an author draws on and transforms source material. What is emphasized or left out?,Transformation of sources.,ShortAnswer,345,3,CCSS.ELA-LITERACY.RL.9-10.9,Sources,CCSS.ELA.CCR.R.9
English,Grade 11,Analyze the impact of the author's choices regarding how to order events and manipulate time.,Narrative technique.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.3,Narrative,CCSS.ELA.CCR.R.3
English,Grade 11,Determine two or more themes and analyze their development. How do they interact and build?,Multiple themes.,ShortAnswer,348,4,CCSS.ELA-LITERACY.RL.11-12.2,Theme,CCSS.ELA.CCR.R.2
English,Grade 11,Delineate and evaluate the reasoning in seminal texts. Assess the premises claims and reasoning.,Evaluate reasoning.,ShortAnswer,352,4,CCSS.ELA-LITERACY.RI.11-12.8,Reasoning,CCSS.ELA.CCR.R.8
English,Grade 11,Analyze how the author's point of view or purpose shapes content and style. What rhetoric is used?,Rhetoric and purpose.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RI.11-12.6,Author purpose,CCSS.ELA.CCR.R.6
English,Grade 11,Determine the meaning of words and phrases including figurative connotative and technical. How do they shape tone?,Word meaning and tone.,ShortAnswer,348,3,CCSS.ELA-LITERACY.L.11-12.5,Vocabulary,CCSS.ELA.CCR.L.5
English,Grade 11,Analyze how the author structures the text. How do the sections contribute to the development of ideas?,Structure and ideas.,ShortAnswer,354,4,CCSS.ELA-LITERACY.RI.11-12.5,Structure,CCSS.ELA.CCR.R.5
English,Grade 11,Analyze the author's choices regarding how to develop and relate elements of a story or drama.,Author choices in drama.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.5,Drama and story,CCSS.ELA.CCR.R.5
English,Grade 11,Analyze a complex set of ideas. How does the author develop and refine the central idea?,Complex ideas.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RI.11-12.2,Central idea,CCSS.ELA.CCR.R.2
English,Grade 11,Analyze multiple interpretations of a story drama or poem. How does each interpret the source?,Multiple interpretations.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.7,Interpretation,CCSS.ELA.CCR.R.7
English,Grade 11,Demonstrate knowledge of foundational works. How does the author draw on a theme or pattern?,Foundational works.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.9,Foundational works,CCSS.ELA.CCR.R.9
English,Grade 12,Analyze how the author's choices concerning structure create aesthetic impact and advance the plot or theme.,Structure and aesthetic.,ShortAnswer,348,4,CCSS.ELA-LITERACY.RL.11-12.5,Structure,CCSS.ELA.CCR.R.5
English,Grade 12,Determine two or more central ideas and analyze their development. Provide an objective summary.,Central ideas.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RI.11-12.2,Central ideas,CCSS.ELA.CCR.R.2
English,Grade 12,Delineate and evaluate the argument. Assess whether the reasoning is valid and the evidence is sufficient and relevant.,Argument evaluation.,ShortAnswer,352,4,CCSS.ELA-LITERACY.RI.11-12.8,Argument,CCSS.ELA.CCR.R.8
English,Grade 12,Analyze how the author unfolds an analysis or series of ideas. What is the order and how does it build?,Analysis unfolding.,ShortAnswer,345,4,CCSS.ELA-LITERACY.RI.11-12.3,Analysis,CCSS.ELA.CCR.R.3
English,Grade 12,Determine the meaning of words and phrases including figurative connotative and technical. How do they shape meaning and tone?,Word meaning.,ShortAnswer,348,4,CCSS.ELA-LITERACY.L.11-12.5,Vocabulary,CCSS.ELA.CCR.L.5
English,Grade 12,Analyze how an author draws on and transforms source material. What is the effect of the transformation?,Source transformation.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.9,Sources,CCSS.ELA.CCR.R.9
English,Grade 12,Analyze how the author's point of view or purpose shapes content and style. What rhetorical strategies are used?,Rhetorical analysis.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RI.11-12.6,Rhetoric,CCSS.ELA.CCR.R.6
English,Grade 12,Analyze the impact of the author's choices regarding how to develop and relate elements of a story.,Author development.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RL.11-12.3,Development,CCSS.ELA.CCR.R.3
English,Grade 12,Integrate and evaluate multiple sources of information. How do they address a question or solve a problem?,Multiple sources.,ShortAnswer,350,4,CCSS.ELA-LITERACY.RI.11-12.7,Multiple sources,CCSS.ELA.CCR.R.7
English,Grade 12,Analyze how the author structures the text. How do the sections contribute to the whole?,Text structure.,ShortAnswer,354,4,CCSS.ELA-LITERACY.RI.11-12.5,Structure,CCSS.ELA.CCR.R.5
Maths,Grade 1,How do you know that 3 + 2 equals 5? Explain your thinking in words.,Describe your reasoning.,ShortAnswer,115,2,CGSA,Operations and Algebraic Thinking,CCSS.MATH.DOM.OA
Maths,Grade 1,If you have 4 apples and get 2 more how many do you have? Show how you figured it out.,Explain your strategy.,ShortAnswer,110,2,CGSA,Addition within 10,CCSS.MATH.DOM.OA
Maths,Grade 1,What does the equals sign mean? Give an example.,Define and give an example.,ShortAnswer,108,1,CGSA,Equality,CCSS.MATH.DOM.OA
Maths,Grade 1,How can you tell which number is greater: 7 or 9? Explain.,Compare numbers.,ShortAnswer,112,1,CGSA,Comparing numbers,CCSS.MATH.DOM.NBT
Maths,Grade 1,Count to 20. What number comes after 15? How do you know?,Number sequence.,ShortAnswer,105,1,CGSA,Counting,CCSS.MATH.DOM.CC
Maths,Grade 1,If you have 5 blocks and take away 2 how many are left? Explain how you know.,Subtraction reasoning.,ShortAnswer,118,2,CGSA,Subtraction,CCSS.MATH.DOM.OA
Maths,Grade 1,What is a shape with 3 sides called? How is it different from a shape with 4 sides?,Name and compare shapes.,ShortAnswer,120,1,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 1,How do you measure how long something is? What do you use?,Measurement idea.,ShortAnswer,116,1,CGSA,Measurement,CCSS.MATH.DOM.MD
Maths,Grade 1,Sort these into two groups: 2 4 6 8 and 3 5 7. What is the rule for each group?,Sorting and pattern.,ShortAnswer,122,2,CGSA,Patterns,CCSS.MATH.DOM.OA
Maths,Grade 1,Why do we need to know how to add and subtract? Give one real-life example.,Application.,ShortAnswer,125,2,CGSA,Word problems,CCSS.MATH.MP.2
Maths,Grade 2,Explain how you would add 24 + 37. What strategy did you use?,Explain addition strategy.,ShortAnswer,135,2,CGSA,Addition within 100,CCSS.MATH.DOM.NBT
Maths,Grade 2,What does it mean when we say a number is even? Give two examples.,Define even and give examples.,ShortAnswer,132,1,CGSA,Even and odd,CCSS.MATH.DOM.OA
Maths,Grade 2,How do you know that 5 × 2 is the same as 2 + 2 + 2 + 2 + 2? Explain.,Repeated addition.,ShortAnswer,138,2,CGSA,Multiplication concept,CCSS.MATH.DOM.OA
Maths,Grade 2,Describe how to measure the length of your desk. What unit would you use?,Measurement process.,ShortAnswer,136,2,CGSA,Measurement,CCSS.MATH.DOM.MD
Maths,Grade 2,What is the value of the 3 in 34? What about the 3 in 43? Explain.,Place value.,ShortAnswer,140,2,CGSA,Place value,CCSS.MATH.DOM.NBT
Maths,Grade 2,How would you solve 50 - 28? Show your thinking in words.,Subtraction strategy.,ShortAnswer,142,2,CGSA,Subtraction,CCSS.MATH.DOM.NBT
Maths,Grade 2,What is a rectangle? How is it different from a square?,Define and compare.,ShortAnswer,134,1,CGSA,Geometry,CCSS.MATH.DOM.G
Maths,Grade 2,Why can we use a number line to add? Explain in one or two sentences.,Number line reasoning.,ShortAnswer,144,2,CGSA,Number line,CCSS.MATH.DOM.MD
Maths,Grade 2,If you have 3 groups of 4 how many do you have? Explain two ways to find the answer.,Multiplication and grouping.,ShortAnswer,146,2,CGSA,Multiplication,CCSS.MATH.DOM.OA
Maths,Grade 2,What is a fraction? When do we use fractions in real life? Give one example.,Fraction concept.,ShortAnswer,148,2,CGSA,Fractions intro,CCSS.MATH.DOM.NF
Maths,Grade 3,Explain how to find 6 × 7. What strategy did you use and why?,Multiplication strategy.,ShortAnswer,160,2,CGSA,Multiplication,CCSS.MATH.DOM.OA
Maths,Grade 3,What is the relationship between multiplication and division? Give an example.,Multiplication and division.,ShortAnswer,162,2,CGSA,Division,CCSS.MATH.DOM.OA
Maths,Grade 3,How do you find the area of a rectangle? Why does that formula work?,Area concept.,ShortAnswer,165,2,CGSA,Area,CCSS.MATH.DOM.MD
