Subject,Grade,QuestionText,Description,questionType,leftItems,rightItems,correctPairs,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 3,Match each pronoun to the noun it replaces.,Match pronoun to antecedent.,Matching,"he,she,it,they","girl,group,boy,thing","0-2,1-0,2-3,3-1",215,1,CCSS.ELA.L.3.1,pronouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 3,Match each figurative phrase to its meaning.,Match idiom or simile to meaning.,Matching,"as fast as lightning,raining cats and dogs,break a leg,piece of cake","good luck,easy,very fast,raining hard","0-2,1-3,2-0,3-1",218,2,CCSS.ELA.L.3.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 3,Match each author's purpose to an example.,Match purpose to example.,Matching,"inform,entertain,persuade,describe","show details,give facts,tell a story,convince","0-1,1-2,2-3,3-0",220,2,CCSS.ELA.RI.3.6,author purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 3,Match each linking word to its use.,Match transition words.,Matching,"first,then,finally,because","order last,cause,order step 1,order step 2","0-2,1-3,2-0,3-1",222,2,CCSS.ELA.L.3.6,linking words,"CCSS.ELA.CCR.W.2, CCSS.ELA.CCR.L.6"
English,Grade 3,Match each part of a letter to its purpose.,Match letter parts.,Matching,"greeting,body,closing,signature","writer name,hello and name,main message,goodbye","0-1,1-2,2-3,3-0",225,2,CCSS.ELA.L.3.2,letter format,"CCSS.ELA.CCR.W.4, CCSS.ELA.CCR.L.2"
English,Grade 3,Match each word to its antonym.,Match opposites.,Matching,"begin,arrive,empty,success","leave,failure,end,full","0-2,1-0,2-3,3-1",228,1,CCSS.ELA.L.3.5,antonyms,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5"
English,Grade 3,Match each text feature to its use.,Match text features.,Matching,"heading,caption,glossary,index","describe picture,find page,title of section,word list","0-2,1-0,2-3,3-1",230,2,CCSS.ELA.RI.3.5,text features,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.7"
English,Grade 4,Match each word to its definition.,Match vocabulary.,Matching,"conclude,evidence,compare,contrast","find difference,decide from facts,proof,find likeness","0-1,1-2,2-3,3-0",232,2,CCSS.ELA.L.4.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 4,Match each point of view to its description.,Match POV to description.,Matching,"first person,second person,third person,omniscient","all thoughts known,I tell story,you are addressed,he/she tells","0-1,1-2,2-3,3-0",235,2,CCSS.ELA.RL.4.6,point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.3"
English,Grade 4,Match each literary device to its definition.,Match literary terms.,Matching,"simile,metaphor,alliteration,personification","thing acts human,like or as,hidden comparison,same sound start","0-1,1-2,2-3,3-0",238,2,CCSS.ELA.L.4.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4"
English,Grade 4,Look at the diagram in the image. Match each label to the correct story element. {ela_match_g4_diag.png},Match the four labels to the four story elements shown in the diagram.,Matching,"plot,setting,character,theme","box C,box D,box A,box B","0-2,1-3,2-0,3-1",242,2,CCSS.ELA.RL.4.3,story elements,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.7"
English,Grade 4,Match each text structure to its signal words.,Match text structure.,Matching,"sequence,cause-effect,compare,problem-solution","different same,problem solve,first then finally,because so","0-2,1-3,2-0,3-1",245,2,CCSS.ELA.RI.4.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.8"
English,Grade 4,Match each word to its Greek or Latin root meaning.,Match root meanings.,Matching,"tele-,photo-,graph-,auto-","light,self,far,write","0-2,1-3,2-0,3-1",248,2,CCSS.ELA.L.4.4,roots,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 4,Match each reference source to its use.,Match reference sources.,Matching,"dictionary,thesaurus,atlas,encyclopedia","overview topic,word meaning,synonyms,maps","0-1,1-2,2-3,3-0",250,1,CCSS.ELA.L.4.4,reference,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.W.8"
English,Grade 4,Match each mood to a story detail.,Match mood to detail.,Matching,"scary,joyful,sad,suspenseful","celebration,unknown outcome,dark storm,loss","0-2,1-3,2-0,3-1",252,2,CCSS.ELA.RL.4.2,mood and theme,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.4"
English,Grade 4,Match each conjunction to its use.,Match conjunctions.,Matching,"and,but,or,because","reason,add,contrast,choice","0-1,1-0,2-2,3-3",255,1,CCSS.ELA.L.4.1,conjunctions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 4,Match each type of writing to its purpose.,Match writing types.,Matching,"narrative,informative,opinion,persuasive","state view,convince,tell story,explain","0-2,1-3,2-0,3-1",258,2,CCSS.ELA.W.4.1,writing purposes,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.W.2"
English,Grade 5,Match each word to its definition.,Match academic vocabulary.,Matching,"analyze,summarize,infer,determine","decide,examine closely,state briefly,conclude from clues","0-1,1-2,2-3,3-0",262,2,CCSS.ELA.L.5.4,vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 5,Match each text structure to its definition.,Match text structures.,Matching,"chronological,compare-contrast,cause-effect,problem-solution","issue fix,time order,likeness difference,reason result","0-1,1-2,2-3,3-0",265,2,CCSS.ELA.RI.5.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.8"
English,Grade 5,Match each pronoun type to an example.,Match pronoun types.,Matching,"subject,object,possessive,reflexive","my,myself,I,me","0-2,1-3,2-0,3-1",268,1,CCSS.ELA.L.5.1,pronouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 5,Match each figurative term to its example.,Match figurative language.,Matching,"simile,metaphor,hyperbole,idiom","hit the books,as brave as a lion,time is money,I could eat a horse","0-1,1-2,2-3,3-0",270,2,CCSS.ELA.L.5.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4"
English,Grade 5,Match each source to its best use.,Match research sources.,Matching,"interview,article,website,book","full treatment,expert view,current event,broad topic","0-1,1-2,2-3,3-0",272,2,CCSS.ELA.W.5.8,research,"CCSS.ELA.CCR.W.7, CCSS.ELA.CCR.W.8"
English,Grade 5,Match each verb mood to its use.,Match verb mood.,Matching,"indicative,imperative,conditional,interrogative","ask question,state fact,give command,if then","0-1,1-0,2-2,3-3",275,2,CCSS.ELA.L.5.1,verb mood,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 5,Match each character trait to evidence.,Match trait to evidence.,Matching,"brave,kind,clever,honest","admits mistake,faces danger,helps others,solves puzzle","0-1,1-2,2-3,3-0",278,2,CCSS.ELA.RL.5.3,character analysis,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.1"
English,Grade 5,Match each transition to its function.,Match transitions.,Matching,"however,therefore,for example,in addition","add,contrast,result,illustrate","0-1,1-0,2-2,3-3",280,2,CCSS.ELA.L.5.6,transitions,"CCSS.ELA.CCR.W.2, CCSS.ELA.CCR.L.6"
English,Grade 5,Match each genre to a feature.,Match genre features.,Matching,"mystery,fantasy,biography,historical fiction","person life,past setting real events,clues and solve,magic real","0-2,1-3,2-0,3-1",282,2,CCSS.ELA.RL.5.9,genre,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 5,Match each affix to its meaning.,Match affixes.,Matching,"-less,-ful,-able,-ment","result of,without,full of,can be","0-1,1-0,2-2,3-3",285,1,CCSS.ELA.L.5.4,affixes,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 6,Match each word to its definition.,Match vocabulary.,Matching,"cite,claim,thesis,evidence","main argument,proof,quote source,assertion","0-2,1-3,2-0,3-1",288,2,CCSS.ELA.L.6.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 6,Match each rhetorical device to its definition.,Match rhetorical terms.,Matching,"ethos,pathos,logos,repetition","repeat for effect,credibility,emotion,logic","0-1,1-2,2-3,3-0",290,2,CCSS.ELA.RI.6.6,rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 6,Match each word to the correct image in the diagram. {ela_match_g6_diag.png},Match the four vocabulary terms to the four labeled parts in the diagram.,Matching,"heading,subheading,caption,sidebar","label C,label A,label D,label B","0-1,1-3,2-0,3-2",292,2,CCSS.ELA.RI.6.5,text features,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.7"
English,Grade 6,Match each narrative element to its role.,Match narrative elements.,Matching,"exposition,rising action,climax,resolution","outcome,introduce,build tension,turning point","0-1,1-2,2-3,3-0",295,2,CCSS.ELA.RL.6.3,plot structure,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.5"
English,Grade 6,Match each pronoun to its antecedent type.,Match pronoun antecedent.,Matching,"she,it,they,we","speaker group,person female,thing,plural","0-1,1-2,2-3,3-0",298,1,CCSS.ELA.L.6.1,pronoun antecedent,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 6,Match each logical fallacy to its description.,Match fallacies.,Matching,"bandwagon,straw man,ad hominem,false cause","wrong cause,everyone does,distort argument,attack person","0-1,1-2,2-3,3-0",300,2,CCSS.ELA.RI.6.8,argument,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.SL.3"
English,Grade 6,Match each tone word to its meaning.,Match tone.,Matching,"formal,sarcastic,somber,optimistic","hopeful,serious, mocking,grave","0-1,1-0,2-3,3-2",302,2,CCSS.ELA.RL.6.4,tone,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.5"
English,Grade 6,Match each sentence type to its structure.,Match sentence structure.,Matching,"simple,compound,complex,compound-complex","three or more,one clause,two independent,two clauses one sub","0-1,1-2,2-3,3-0",305,2,CCSS.ELA.L.6.3,sentence types,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 6,Match each source type to when to use it.,Match source types.,Matching,"primary,secondary,scholarly,popular","general audience,firsthand,secondhand,expert","0-1,1-2,2-3,3-0",308,2,CCSS.ELA.W.6.8,research sources,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
English,Grade 6,Match each word to its connotation.,Match connotation.,Matching,"thin,skinny,slim,slender","positive,neutral,negative,positive","0-1,1-2,2-0,3-3",310,2,CCSS.ELA.L.6.5,connotation,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 7,Match each word to its definition.,Match vocabulary.,Matching,"ambiguity,bias,imply,explicit","stated clearly,unclear meaning,preference, suggest","0-1,1-2,2-3,3-0",312,2,CCSS.ELA.L.7.4,vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 7,Match each literary element to its definition.,Match literary elements.,Matching,"foreshadowing,irony,symbolism,theme","main idea,hint of future,opposite of expected,stands for more","0-1,1-2,2-3,3-0",315,2,CCSS.ELA.RL.7.4,literary analysis,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.4"
English,Grade 7,Match each phrase to its grammatical function.,Match phrases.,Matching,"noun phrase,verb phrase,prepositional phrase,adjective phrase","modifies noun,acts as noun,acts as verb,starts with prep","0-1,1-2,2-3,3-0",318,2,CCSS.ELA.L.7.1,phrases,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 7,Match each argument part to its role.,Match argument structure.,Matching,"claim,counterclaim,rebuttal,evidence","proof,main point,opposing view,response to opposition","0-1,1-2,2-3,3-0",320,2,CCSS.ELA.W.7.1,argument writing,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.8"
English,Grade 7,Match each mood to a technique.,Match mood techniques.,Matching,"suspense,humor,tragedy,hope","positive outcome,withhold information,wordplay,downfall","0-1,1-2,2-3,3-0",322,2,CCSS.ELA.RL.7.2,mood,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.4"
English,Grade 7,Match each modifier type to its placement.,Match modifiers.,Matching,"adjective,adverb,participial phrase,appositive","renames noun,before noun,verb or adj,noun phrase","0-1,1-2,2-3,3-0",325,2,CCSS.ELA.L.7.1,modifiers,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 7,Match each media type to its strength.,Match media.,Matching,"video,chart,text,audio","voice tone,show motion,compare data,detail","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.RI.7.7,multimedia,"CCSS.ELA.CCR.R.7, CCSS.ELA.CCR.SL.2"
English,Grade 7,Match each word to its etymology.,Match word origins.,Matching,"democracy,biology,telephone,autograph","self write,people power,life study,far sound","0-1,1-2,2-3,3-0",330,2,CCSS.ELA.L.7.4,etymology,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 7,Match each genre to its convention.,Match genre conventions.,Matching,"drama,poetry,memoir,essay","formal argument,dialogue stage,line stanza,personal true","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.RL.7.5,genre,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.9"
English,Grade 7,Match each comma rule to an example.,Match comma usage.,Matching,"series,intro,compound sentence,direct address","Name do this,A B and C,After the game,S V and S V","0-1,1-2,2-3,3-0",335,1,CCSS.ELA.L.7.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3"
English,Grade 8,Match each word to its definition.,Match vocabulary.,Matching,"paradox,analogy,anecdote,allusion","reference to other,contradiction,comparison,short story","0-1,1-2,2-3,3-0",338,2,CCSS.ELA.L.8.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 8,Match each persuasive technique to its description.,Match persuasion.,Matching,"loaded language,testimonial,bandwagon,appeal to authority","expert says,emotional words,celebrity endorsement,everyone does","0-1,1-2,2-3,3-0",340,2,CCSS.ELA.RI.8.6,persuasion,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 8,Match each sentence error to its correction.,Match sentence errors.,Matching,"run-on,fragment,comma splice,dangling modifier","modifier wrong noun,two sentences,incomplete,comma between clauses","0-1,1-2,2-3,3-0",342,2,CCSS.ELA.L.8.1,sentence errors,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2"
English,Grade 8,Using the image match each vocabulary word to the correct picture. {ela_match_g8_w2p.png},Match the four words to the four pictures shown in the image.,Matching,"metaphor,setting,protagonist,conflict","image 3,image 1,image 4,image 2","0-1,1-3,2-0,3-2",345,2,CCSS.ELA.RL.8.4,literary terms,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.R.7"
English,Grade 8,Match each verb voice to its form.,Match active and passive.,Matching,"active,passive,active,passive","subject receives,The dog bit,subject acts,The dog was bitten","0-2,1-0,2-1,3-3",348,1,CCSS.ELA.L.8.1,voice,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 8,Match each author choice to its effect.,Match author craft.,Matching,"short sentences,flashback,dialogue,imagery","sensory detail,tension or speed,past event,character voice","0-1,1-2,2-3,3-0",350,2,CCSS.ELA.RL.8.4,author craft,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.W.3"
English,Grade 8,Match each text type to its purpose.,Match text types.,Matching,"expository,argumentative,narrative,procedural","how-to,explain,convince,tell story","0-1,1-2,2-3,3-0",335,2,CCSS.ELA.RI.8.6,text types,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.W.2"
English,Grade 8,Match each clause type to its role.,Match clauses.,Matching,"independent,dependent,relative,adverbial","modifies verb,stands alone,needs main,modifies noun","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.L.8.1,clauses,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 8,Match each word to its nuance.,Match word nuance.,Matching,"ask,demand,request,plead","emotional,neutral,strong,formal","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.L.8.5,nuance,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6"
English,Grade 8,Match each citation element to its place.,Match MLA elements.,Matching,"author,title,date,page","p. or pp.,last name,italicized,year","0-1,1-2,2-3,3-0",330,2,CCSS.ELA.W.8.8,citations,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
English,Grade 9,Match each rhetorical appeal to its definition.,Match rhetoric.,Matching,"ethos,pathos,logos,kairos","timing,credibility,emotion,logic","0-1,1-2,2-3,3-0",338,2,CCSS.ELA.RI.9-10.6,rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8"
English,Grade 9,Match each literary period to a trait.,Match literary periods.,Matching,"Romanticism,Realism,Modernism,Postmodern","play with form,nature emotion,everyday life,fragmentation","0-1,1-2,2-3,3-0",340,2,CCSS.ELA.RL.9-10.9,literary history,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.10"
English,Grade 9,Match each word to its definition.,Match vocabulary.,Matching,"synthesize,qualify,refute,delineate","outline,combine sources,limit claim,disprove","0-1,1-2,2-3,3-0",342,2,CCSS.ELA.L.9-10.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 9,Match each poetic device to its example.,Match poetic devices.,Matching,"alliteration,assonance,consonance,onomatopoeia","buzz,Peter Piper,go slow,blank think","0-1,1-2,2-3,3-0",345,2,CCSS.ELA.L.9-10.5,poetic devices,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4"
English,Grade 9,Match each argument component to its role.,Match argument.,Matching,"claim,warrant,backing,qualifier","limit claim,assertion,link to evidence,support warrant","0-1,1-2,2-3,3-0",348,2,CCSS.ELA.W.9-10.1,Toulmin,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.8"
English,Grade 9,Match each narrative technique to its effect.,Match narrative techniques.,Matching,"frame story,unreliable narrator,stream of consciousness,in medias res","start in middle,story within story,question truth,inner thoughts","0-1,1-2,2-3,3-0",350,2,CCSS.ELA.RL.9-10.5,narrative,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.3"
English,Grade 9,Match each phrase type to its function.,Match phrases.,Matching,"gerund phrase,infinitive phrase,participial phrase,absolute phrase","noun + participle,verb -ing as noun,to + verb,noun modifier","0-1,1-2,2-3,3-0",335,2,CCSS.ELA.L.9-10.1,phrases,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3"
English,Grade 9,Match each source to its reliability.,Match source reliability.,Matching,"peer-reviewed,.gov,blog,Wikipedia","check citation,high,high,varies","0-1,1-2,2-3,3-0",332,2,CCSS.ELA.W.9-10.8,research,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
English,Grade 9,Match each tone to a technique.,Match tone.,Matching,"satirical,melancholic,urgent,reverent","respectful,mock serious,sad reflective,insistent","0-1,1-2,2-3,3-0",328,2,CCSS.ELA.RL.9-10.4,tone,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.5"
English,Grade 9,Match each punctuation to its use.,Match punctuation.,Matching,"colon,semicolon,dash,ellipsis","omit,introduce list,link clauses,interrupt","0-1,1-2,2-3,3-0",330,1,CCSS.ELA.L.9-10.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3"
English,Grade 10,Match each word to its definition.,Match vocabulary.,Matching,"juxtaposition,allegory,paradox,archetype","universal pattern,place side by side,extended symbol,seeming contradiction","0-1,1-2,2-3,3-0",338,2,CCSS.ELA.L.9-10.4,academic vocabulary,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6"
English,Grade 10,Match each logical structure to its description.,Match argument structure.,Matching,"deduction,induction,analogy,syllogism","two premises conclusion,general to specific,specific to general,compare","0-1,1-2,2-3,3-0",340,2,CCSS.ELA.RI.9-10.8,logic,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.SL.3"
English,Grade 10,Match each word to the correct part of the diagram in the image. {ela_match_g10_diag.png},Match the four terms to the four labeled sections in the diagram.,Matching,"introduction,body,conclusion,counterclaim","section C,section A,section D,section B","0-1,1-3,2-0,3-2",342,2,CCSS.ELA.W.9-10.1,essay structure,"CCSS.ELA.CCR.W.1, CCSS.ELA.CCR.R.5"
English,Grade 10,Match each rhetorical device to its effect.,Match rhetoric.,Matching,"anaphora,antithesis,chiasmus,asyndeton","omit conjunctions,repeat opening,contrast,reverse structure","0-1,1-2,2-3,3-0",345,2,CCSS.ELA.RI.9-10.6,rhetorical devices,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.4"
English,Grade 10,Match each genre to its convention.,Match genre.,Matching,"tragedy,comedy,satire,epic","hero journey,downfall,resolution,ridicule","0-1,1-2,2-3,3-0",348,2,CCSS.ELA.RL.9-10.9,genre,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9"
English,Grade 10,Match each citation style to its use.,Match citation.,Matching,"MLA,APA,Chicago,footnote","note at bottom,humanities,psychology,history","0-1,1-2,2-3,3-0",350,2,CCSS.ELA.W.9-10.8,citations,"CCSS.ELA.CCR.W.8, CCSS.ELA.CCR.W.9"
