Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies,,,
English,Grade 6,Which two are central ideas of an article?,Select central ideas,MultipleSelect,Climate affects ecosystems.,Two plus two.,Recycling reduces waste.,The sky is blue.,"[A,C]",275,2,CCSS.ELA.RI.6.2,central idea,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 6,Which words are subjective (opinion)?,Select subjective language,MultipleSelect,three meters,unfair,beautiful,factual,"[B,C]",272,2,CCSS.ELA.RI.6.6,objective vs subjective,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 6,Which two are types of evidence in an argument?,Select types of evidence,MultipleSelect,off-topic detail,statistics,personal taste only,expert quote,"[B,D]",278,2,CCSS.ELA.RI.6.8,argument and evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 6,Which are elements of plot?,Select plot elements,MultipleSelect,climax,page number,font,exposition,"[A,D]",270,2,CCSS.ELA.RL.6.3,plot structure,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.5",,,
English,Grade 6,Which two show author's purpose?,Select author's purpose clues,MultipleSelect,persuasive language,page count,random words,informative tone,"[A,D]",276,2,CCSS.ELA.RI.6.6,author's purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 6,Which are correctly punctuated?,Select correct punctuation,MultipleSelect,"She said ""Hello."""",""Hi"""" he said.""",The dog ran.,I like apples oranges and bananas.,"[A,C]",273,2,CCSS.ELA.L.6.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3",,,,
English,Grade 6,Which two are themes across two texts?,Select common themes,MultipleSelect,courage,justice,a date,one character's name,"[A,B]",284,2,CCSS.ELA.RL.6.9,compare texts,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.2",,,
English,Grade 6,Which words are academic vocabulary?,Select academic terms,MultipleSelect,conclude,analyze,thing,stuff,"[A,B]",271,2,CCSS.ELA.L.6.6,academic vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.R.4",,,
English,Grade 6,Which two support a claim?,Select supporting elements,MultipleSelect,irrelevant details,reasons,evidence,opinions only,"[B,C]",286,2,CCSS.ELA.RI.6.8,support claims,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.9",,,
English,Grade 7,Which two are implied themes?,Select implied themes,MultipleSelect,The sky is blue.,Standing up for others matters.,Working hard pays off.,One two three.,"[B,C]",292,2,CCSS.ELA.RL.7.2,theme development,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9",,,
English,Grade 7,Which are rhetorical devices?,Select rhetorical devices,MultipleSelect,the end,question to audience,repetition,random word,"[B,C]",290,2,CCSS.ELA.RI.7.6,rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 7,Which two show how structure supports meaning?,Select structure and meaning,MultipleSelect,short sentences for tension,flashback for past,font size,page numbers,"[A,B]",295,2,CCSS.ELA.RL.7.5,structure and meaning,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10",,,
English,Grade 7,Which words have a formal tone?,Select formal language,MultipleSelect,yeah,nevertheless,nope,however,"[B,D]",288,2,CCSS.ELA.L.7.3,style and tone,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.L.6",,,
English,Grade 7,Which two are counterclaims?,Select counterclaim language,MultipleSelect,The sky is blue.,However opponents say,Some argue that,Facts show that.,"[B,C]",296,2,CCSS.ELA.RI.7.8,argument and counterclaim,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 7,Which are phrases vs clauses?,Select phrases (not full clauses),MultipleSelect,the dog ran,after the game,in the morning,she left,"[B,C]",291,2,CCSS.ELA.L.7.1,phrases and clauses,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 7,Which two compare two authors' presentations?,Select comparison points,MultipleSelect,emphasis different,tone,page length only,evidence used,"[A,B,D]",300,2,CCSS.ELA.RI.7.9,compare authors,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.8",,,
English,Grade 7,Which words are precise (not vague)?,Select precise words,MultipleSelect,sprinted,ran quickly,thing,stuff,"[A,B]",294,2,CCSS.ELA.L.7.3,word choice,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4",,,
English,Grade 7,Which two develop character in a drama?,Select character development,MultipleSelect,stage directions,page numbers,font,dialogue,"[A,D]",302,2,CCSS.ELA.RL.7.3,drama and character,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.5",,,
English,Grade 8,Which two are central ideas with supporting evidence?,Select well-supported central ideas,MultipleSelect,main idea with statistic,unsupported claim,random detail,main idea with quote,"[A,D]",308,2,CCSS.ELA.RI.8.2,central idea and support,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.8",,,
English,Grade 8,Which are types of irony?,Select irony types,MultipleSelect,literal statement,situational,dramatic,fact,"[B,C]",306,2,CCSS.ELA.RL.8.6,irony and point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 8,Which two show how an author responds to conflicting viewpoints?,Select response to viewpoints,MultipleSelect,acknowledges then refutes,addresses counterclaim,ignores opposition,changes subject,"[A,B]",312,2,CCSS.ELA.RI.8.6,conflicting viewpoints,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 8,Which words show bias?,Select biased language,MultipleSelect,reported,measured,obviously,clearly,"[C,D]",304,2,CCSS.ELA.RI.8.6,bias and perspective,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 8,Which two are strong textual evidence?,Select strong evidence,MultipleSelect,off-topic,paraphrase with citation,unsupported opinion,direct quote,"[B,D]",310,2,CCSS.ELA.RI.8.1,textual evidence,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.W.9",,,
English,Grade 8,Which are active voice?,Select active voice sentences,MultipleSelect,The ball was thrown.,The game was won.,The team won the game.,She wrote the letter.,"[C,D]",305,2,CCSS.ELA.L.8.1,active and passive,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 8,Which two relate to author's purpose and audience?,Select purpose and audience,MultipleSelect,formal for experts,topic only,page count,casual for peers,"[A,D]",318,2,CCSS.ELA.RI.8.6,audience and purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.SL.4",,,
English,Grade 8,Which words are domain-specific?,Select domain-specific terms,MultipleSelect,photosynthesis,ecosystem,good,nice,"[A,B]",307,2,CCSS.ELA.L.8.6,domain vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.R.4",,,
English,Grade 8,Which two analyze how structure contributes to theme?,Select structure and theme,MultipleSelect,font choice,repeated symbol,page numbers,parallel plots,"[B,D]",320,2,CCSS.ELA.RL.8.5,structure and theme,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.2",,,
English,Grade 9,Which two are themes developed through symbolism?,Select symbolic themes,MultipleSelect,journey as growth,literal description,light as hope,page count,"[A,C]",325,2,CCSS.ELA.RL.9-10.2,theme and symbolism,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.4",,,
English,Grade 9,Which are types of reasoning in argument?,Select reasoning types,MultipleSelect,random claim,logical appeal,emotional appeal,typo,"[B,C]",322,2,CCSS.ELA.RI.9-10.8,argument and rhetoric,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 9,Which two show how an author builds an argument?,Select argument structure,MultipleSelect,claim then evidence,addresses counterclaim,no structure,unrelated facts,"[A,B]",328,2,CCSS.ELA.RI.9-10.5,argument structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.8",,,
English,Grade 9,Which words indicate tone?,Select tone indicators,MultipleSelect,the,solemn,sarcastic,the,"[B,C]",320,2,CCSS.ELA.L.9-10.5,tone and meaning,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4",,,
English,Grade 9,Which two are complex ideas in a text?,Select complex ideas,MultipleSelect,one word,underlying assumption,author's thesis,simple fact only,"[B,C]",330,2,CCSS.ELA.RI.9-10.2,complex ideas,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 9,Which are semicolon uses?,Select correct semicolon use,MultipleSelect,separate items with commas,end of sentence,join related clauses,after a greeting,"[A,C]",324,2,CCSS.ELA.L.9-10.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3",,,
English,Grade 9,Which two compare how authors treat the same theme?,Select comparative analysis,MultipleSelect,same sentence,different evidence,different emphasis,page count,"[B,C]",335,2,CCSS.ELA.RL.9-10.9,compare texts,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.2",,,
English,Grade 9,Which words are nuanced?,Select nuanced vocabulary,MultipleSelect,identical,big vs large,exact same,reluctant vs refused,"[B,D]",327,2,CCSS.ELA.L.9-10.5,nuance and meaning,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6",,,
English,Grade 9,Which two evaluate argument strength?,Select evaluation criteria,MultipleSelect,sufficient evidence,irrelevant,opinion only,sound reasoning,"[A,D]",338,2,CCSS.ELA.RI.9-10.8,evaluate argument,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.SL.3",,,
English,Grade 10,Which two show how author's choices shape meaning?,Select author's choices,MultipleSelect,structure,page number,word choice,font,"[A,C]",342,2,CCSS.ELA.RL.9-10.4,author's choices,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.R.5",,,
English,Grade 10,Which are types of evidence in research?,Select research evidence,MultipleSelect,scholarly article,blog opinion,primary source,random quote,"[A,C]",340,2,CCSS.ELA.RI.9-10.9,research and sources,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.W.8",,,
English,Grade 10,Which two analyze how rhetoric advances purpose?,Select rhetorical analysis,MultipleSelect,appeal to logic,page count,appeal to emotion,typo,"[A,C]",345,2,CCSS.ELA.RI.9-10.6,rhetoric and purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 10,Which words are ambiguous?,Select ambiguous terms,MultipleSelect,run (operate or jog),bank (money or river),dog,cat,"[A,B]",338,2,CCSS.ELA.L.9-10.5,multiple meanings,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4",,,
English,Grade 10,Which two are themes across genres?,Select cross-genre themes,MultipleSelect,identity,one character name,a date,power and corruption,"[A,D]",346,2,CCSS.ELA.RL.9-10.9,themes across genres,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.2",,,
English,Grade 10,Which are comma rules?,Select correct comma usage,MultipleSelect,nowhere,after introductory phrase,between items in series,after every word,"[B,C]",341,2,CCSS.ELA.L.9-10.2,conventions,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3",,,
English,Grade 10,Which two distinguish claim from evidence?,Select claim vs evidence,MultipleSelect,evidence supports it,they are the same,neither exists,claim is the argument,"[A,D]",350,2,CCSS.ELA.RI.9-10.8,claim and evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 10,Which words show formal style?,Select formal style,MultipleSelect,furthermore,okay,nevertheless,yeah,"[A,C]",344,2,CCSS.ELA.L.9-10.3,formal style,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4",,,
English,Grade 10,Which two analyze author's perspective?,Select perspective analysis,MultipleSelect,historical context,cultural context,font size,page number,"[A,B]",350,2,CCSS.ELA.RI.9-10.6,author's perspective,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.9",,,
English,Grade 11,Which two are central ideas with nuanced development?,Select nuanced central ideas,MultipleSelect,qualified claim,main idea with complexity,simple fact,one word,"[A,B]",350,2,CCSS.ELA.RI.11-12.2,central idea development,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 11,Which are elements of satire?,Select satirical elements,MultipleSelect,literal statement,exaggeration,irony,plain fact,"[B,C]",348,2,CCSS.ELA.RL.11-12.6,satire and rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 11,Which two evaluate reasoning in seminal texts?,Select reasoning evaluation,MultipleSelect,page count,fallacies,typos,premise and conclusion,"[B,D]",350,2,CCSS.ELA.RI.11-12.8,seminal documents,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.R.10",,,
English,Grade 11,Which words are archaic or specialized?,Select specialized vocabulary,MultipleSelect,stuff,thing,wherefore,hence,"[C,D]",348,2,CCSS.ELA.L.11-12.6,domain vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.R.4",,,
English,Grade 11,Which two analyze how style contributes to meaning?,Select style and meaning,MultipleSelect,syntax choices,diction,font,page numbers,"[A,B]",348,2,CCSS.ELA.RL.11-12.4,style and meaning,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.R.5",,,
English,Grade 11,Which are colon and dash uses?,Select punctuation use,MultipleSelect,emphasize point,after greeting,random,introduce list,"[A,D]",348,2,CCSS.ELA.L.11-12.2,advanced punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3",,,
English,Grade 11,Which two compare foundational documents?,Select document comparison,MultipleSelect,same author,page count,shared themes,different rhetoric,"[C,D]",350,2,CCSS.ELA.RI.11-12.9,foundational documents,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.W.9",,,
English,Grade 11,Which words indicate author's stance?,Select stance indicators,MultipleSelect,clearly,unfortunately,measured,reported,"[A,B]",348,2,CCSS.ELA.RI.11-12.6,stance and rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 11,Which two evaluate effectiveness of argument?,Select effectiveness criteria,MultipleSelect,length only,reasoning soundness,typos,evidence quality,"[B,D]",350,2,CCSS.ELA.RI.11-12.8,evaluate argument,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.SL.3",,,
English,Grade 12,Which two are multiple themes with complexity?,Select complex themes,MultipleSelect,thematic tension,page number,one word,main and subordinate themes,"[A,D]",350,2,CCSS.ELA.RL.11-12.2,complex themes,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9",,,
English,Grade 12,Which are rhetorical strategies in persuasion?,Select rhetorical strategies,MultipleSelect,ethos,typo,random,pathos,"[A,D]",350,2,CCSS.ELA.RI.11-12.6,rhetoric and persuasion,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 12,Which two synthesize information across sources?,Select synthesis,MultipleSelect,ignore conflict,one source only,compare multiple authors,integrate evidence,"[C,D]",350,2,CCSS.ELA.RI.11-12.7,synthesis,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.W.7",,,
English,Grade 12,Which words show rhetorical effect?,Select rhetorical effect,MultipleSelect,typo,plain word,repetition for emphasis,parallel structure,"[C,D]",348,2,CCSS.ELA.L.11-12.5,rhetorical effect,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4",,,
English,Grade 12,Which two analyze how author addresses conflicting evidence?,Select handling of conflict,MultipleSelect,ignores,qualifies claim,acknowledges then refutes,changes subject,"[B,C]",350,2,CCSS.ELA.RI.11-12.8,conflicting evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 12,Which are conventions of formal writing?,Select formal conventions,MultipleSelect,third person where appropriate,avoid contractions,slang,text speak,"[A,B]",348,2,CCSS.ELA.L.11-12.3,formal conventions,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4",,,
English,Grade 12,Which two evaluate how author uses rhetoric?,Select rhetoric evaluation,MultipleSelect,page count,use of evidence,typos,appeal to audience,"[B,D]",350,2,CCSS.ELA.RI.11-12.6,evaluate rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.SL.3",,,
English,Grade 12,Which words are precise in academic writing?,Select precise academic words,MultipleSelect,thing,demonstrate,get,indicate,"[B,D]",348,2,CCSS.ELA.L.11-12.6,academic vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.W.4",,,
