Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
English,Grade 2,She has ___ apple in her bag.,Choose the correct article.,FillInBlank,"a,an,the",B,105,1,CCSS.ELA-LITERACY.L.2.1,Article use with vowel,CCSS.ELA.CCR.L.1
English,Grade 2,The story was ___ and fun to read.,Choose the word that completes the sentence.,FillInBlank,"interest,interesting,interested",B,145,1,CCSS.ELA-LITERACY.L.2.1,Adjective meaning,CCSS.ELA.CCR.L.1
English,Grade 2,The dog ___ and ___ in the park.,Two blanks: run and play.,FillInBlank,"run,runs,ran; play,plays,played",C;C,160,2,CCSS.ELA-LITERACY.L.2.1,Past tense verbs in series,CCSS.ELA.CCR.L.1
English,Grade 2,I read ___ book; it was ___.,Two blanks: determiner and adjective.,FillInBlank,"a,an,the; good,well,better",A;A,150,2,CCSS.ELA-LITERACY.L.2.1,Article and adjective,CCSS.ELA.CCR.L.1
English,Grade 2,The rabbit is ___ than the turtle.,Choose the word that compares.,FillInBlank,"fast,faster,fastest",B,140,1,CCSS.ELA-LITERACY.L.2.1,Comparative adjective,CCSS.ELA.CCR.L.1
English,Grade 2,We put the toys ___ the box.,Choose the preposition.,FillInBlank,"in,on,at",A,115,1,CCSS.ELA-LITERACY.L.2.1,Preposition of place,CCSS.ELA.CCR.L.1
English,Grade 2,The cat ___ on the soft rug.,Choose the verb that completes the sentence.,FillInBlank,"sleep,sleeps,slept",B,128,1,CCSS.ELA-LITERACY.RF.2.3,Decode and use in sentence,CCSS.ELA.CCR.R.1
English,Grade 3,The students ___ their homework every night.,Choose the verb that agrees with the subject.,FillInBlank,"complete,completes,completed",A,135,1,CCSS.ELA-LITERACY.L.3.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 3,She ___ to the library yesterday.,Choose the past tense verb.,FillInBlank,"go,went,goes",B,125,1,CCSS.ELA-LITERACY.L.3.1,Irregular past tense,CCSS.ELA.CCR.L.1
English,Grade 3,The weather was ___ so we stayed inside.,Choose the word that fits the context.,FillInBlank,"pleasant,stormy,calm",B,155,2,CCSS.ELA-LITERACY.RL.3.4,Context clues for word meaning,CCSS.ELA.CCR.R.4
English,Grade 3,My sister is ___ than I am.,Choose the correct form of the adjective.,FillInBlank,"tall,taller,tallest",B,130,1,CCSS.ELA-LITERACY.L.3.1,Comparative adjective,CCSS.ELA.CCR.L.1
English,Grade 3,The author ___ a funny character in the story.,Choose the verb that completes the sentence.,FillInBlank,"create,creates,created",C,145,1,CCSS.ELA-LITERACY.L.3.1,Past tense verb,CCSS.ELA.CCR.L.1
English,Grade 3,We need ___ and ___ to make the project.,Two blanks: nouns from context.,FillInBlank,"paper,pen,book; glue,stick,tape",A;A,170,2,CCSS.ELA-LITERACY.RI.3.4,Context and vocabulary,CCSS.ELA.CCR.R.4
English,Grade 3,He ___ his keys; he cannot ___ the door.,Two blanks: verb and verb.,FillInBlank,"lost,lose,loses; open,opens,opened",A;A,165,2,CCSS.ELA-LITERACY.L.3.1,Past tense and base verb,CCSS.ELA.CCR.L.1
English,Grade 3,The paragraph ___ describes the main character.,Choose the adverb that fits.,FillInBlank,"quick,quickly,quicker",B,150,1,CCSS.ELA-LITERACY.L.3.1,Adverb form,CCSS.ELA.CCR.L.1
English,Grade 3,When you ___ a story you should check the ___.,Two blanks: verb and noun.,FillInBlank,"write,writes,wrote; spelling,spell,spells",A;A,160,2,CCSS.ELA-LITERACY.W.3.5,Revise and edit focus,CCSS.ELA.CCR.W.5
English,Grade 4,Neither the teacher ___ the students were late.,Choose the word that completes the compound subject agreement.,FillInBlank,"nor,or,and",A,180,2,CCSS.ELA-LITERACY.L.4.1,Compound subject with neither,CCSS.ELA.CCR.L.1
English,Grade 4,The explorer ___ a map of the island.,Choose the verb that fits the sentence.,FillInBlank,"draw,draws,drew",C,145,1,CCSS.ELA-LITERACY.L.4.1,Past tense irregular verb,CCSS.ELA.CCR.L.1
English,Grade 4,The word ___ in the passage means almost the same as happy.,Choose the synonym from context.,FillInBlank,"joyful,sad,angry",A,175,2,CCSS.ELA-LITERACY.L.4.4,Context clues for synonym,CCSS.ELA.CCR.L.4
English,Grade 4,My grandmother ___ us stories when we visit.,Choose the verb that agrees.,FillInBlank,"tell,tells,told",B,138,1,CCSS.ELA-LITERACY.L.4.1,Present tense verb agreement,CCSS.ELA.CCR.L.1
English,Grade 4,The character felt ___ when she won the race.,Choose the word that fits the feeling.,FillInBlank,"proud,pride,proudly",A,160,1,CCSS.ELA-LITERACY.RL.4.4,Character emotion vocabulary,CCSS.ELA.CCR.R.4
English,Grade 4,We ___ the test; the results were ___.,Two blanks: verb and adjective.,FillInBlank,"take,took,taken; good,well,better",B;A,185,2,CCSS.ELA-LITERACY.L.4.1,Past tense and adjective,CCSS.ELA.CCR.L.1
English,Grade 4,Each of the books ___ a different topic.,Choose the verb that agrees.,FillInBlank,"cover,covers,covering",B,170,2,CCSS.ELA-LITERACY.L.4.1,Subject-verb agreement indefinite pronoun,CCSS.ELA.CCR.L.1
English,Grade 4,When you ___ an essay you must ___ your ideas clearly.,Two blanks: verb and verb.,FillInBlank,"write,writes,wrote; organize,organizes,organized",A;A,190,2,CCSS.ELA-LITERACY.W.4.2,Writing process vocabulary,CCSS.ELA.CCR.W.2
English,Grade 4,The passage is ___ from a science article.,Choose the word that fits.,FillInBlank,"adapt,adapted,adapted from",B,168,2,CCSS.ELA-LITERACY.RI.4.4,Academic vocabulary,CCSS.ELA.CCR.R.4
English,Grade 5,The team ___ won the game last week.,Choose the verb that agrees with the collective noun.,FillInBlank,"has,have,having",A,175,2,CCSS.ELA-LITERACY.L.5.1,Collective noun verb agreement,CCSS.ELA.CCR.L.1
English,Grade 5,If she ___ earlier she would have caught the bus.,Choose the correct verb form.,FillInBlank,"leave,leaves,had left",C,220,3,CCSS.ELA-LITERACY.L.5.1,Conditional past perfect,CCSS.ELA.CCR.L.1
English,Grade 5,The ___ of the story is that honesty is important.,Choose the word that names the lesson.,FillInBlank,"theme,plot,setting",A,165,2,CCSS.ELA-LITERACY.RL.5.2,Theme identification,CCSS.ELA.CCR.R.2
English,Grade 5,The scientist ___ the experiment three times.,Choose the verb that completes the sentence.,FillInBlank,"repeat,repeats,repeated",C,150,1,CCSS.ELA-LITERACY.L.5.1,Past tense verb,CCSS.ELA.CCR.L.1
English,Grade 5,The new word was ___ in the glossary.,Choose the word that fits.,FillInBlank,"define,defined,definition",B,170,1,CCSS.ELA-LITERACY.L.5.4,Vocabulary strategy,CCSS.ELA.CCR.L.4
English,Grade 5,The paragraph ___ the main idea; the details ___ it.,Two blanks: verb and verb.,FillInBlank,"state,states,stated; support,supports,supported",A;C,195,2,CCSS.ELA-LITERACY.RI.5.2,Main idea and support,CCSS.ELA.CCR.R.2
English,Grade 5,Everyone ___ to bring ___ supplies.,Two blanks: verb and possessive.,FillInBlank,"need,needs,needed; their,his or her,our",B;B,185,2,CCSS.ELA-LITERACY.L.5.1,Indefinite pronoun agreement,CCSS.ELA.CCR.L.1
English,Grade 5,The author ___ evidence to ___ the claim.,Choose verbs that fit academic writing.,FillInBlank,"cite,cites,cited; support,supports,supported",A;A,200,2,CCSS.ELA-LITERACY.W.5.1,Argument vocabulary,CCSS.ELA.CCR.W.1
English,Grade 5,The tone of the passage is ___ and serious.,Choose the word that fits the tone.,FillInBlank,"formal,casual,silly",A,190,2,CCSS.ELA-LITERACY.RL.5.4,Tone vocabulary,CCSS.ELA.CCR.R.4
English,Grade 6,The data ___ that the hypothesis was correct.,Choose the verb that agrees with the subject.,FillInBlank,"show,shows,shown",B,170,1,CCSS.ELA-LITERACY.L.6.1,Subject-verb agreement,CCSS.ELA.CCR.L.1
English,Grade 6,Each of the students ___ assigned a partner.,Choose the verb form.,FillInBlank,"was,were,are",A,175,2,CCSS.ELA-LITERACY.L.6.1,Indefinite pronoun verb agreement,CCSS.ELA.CCR.L.1
English,Grade 6,The author uses ___ language to appeal to the reader's emotions.,Choose the rhetorical term.,FillInBlank,"figurative,literal,formal",A,195,2,CCSS.ELA-LITERACY.RL.6.4,Figurative language purpose,CCSS.ELA.CCR.R.4
English,Grade 6,The pronoun ___ should agree with ___ antecedent.,Two blanks: pronoun and determiner.,FillInBlank,"it,its,they; its,their,his",B;A,185,2,CCSS.ELA-LITERACY.L.6.1,Pronoun-antecedent agreement,CCSS.ELA.CCR.L.1
English,Grade 6,The passage suggests that the character felt ___.,Choose the word that fits context.,FillInBlank,"anxious,anxiously,anxiety",A,200,2,CCSS.ELA-LITERACY.RI.6.4,Context-based vocabulary,CCSS.ELA.CCR.R.4
English,Grade 6,We ___ the report; the teacher ___ it yesterday.,Two blanks: verb and verb.,FillInBlank,"submit,submits,submitted; receive,receives,received",A;B,190,2,CCSS.ELA-LITERACY.L.6.1,Past tense verbs,CCSS.ELA.CCR.L.1
English,Grade 6,The evidence ___ the author's argument is ___.,Two blanks: preposition and adjective.,FillInBlank,"for,from,with; strong,strongly,strength",A;A,205,2,CCSS.ELA-LITERACY.RI.6.1,Textual evidence vocabulary,CCSS.ELA.CCR.R.1
English,Grade 6,When ___ a draft you should ___ for clarity.,Two blanks: verb and verb.,FillInBlank,"revise,revises,revising; edit,edits,editing",C;A,195,2,CCSS.ELA-LITERACY.W.6.5,Revise and edit,CCSS.ELA.CCR.W.5
English,Grade 6,The mood of the passage shifts from hopeful to ___.,Choose the word that completes the contrast.,FillInBlank,"despair,despairing,despaired",A,198,2,CCSS.ELA-LITERACY.RL.6.4,Mood and vocabulary,CCSS.ELA.CCR.R.4
English,Grade 7,If I ___ you I would apologize.,Choose the correct verb mood.,FillInBlank,"was,were,am",B,215,2,CCSS.ELA-LITERACY.L.7.1,Subjunctive mood,CCSS.ELA.CCR.L.1
English,Grade 7,The report ___ by the committee last month.,Choose the verb form for passive voice.,FillInBlank,"review,reviews,was reviewed",C,205,2,CCSS.ELA-LITERACY.L.7.1,Passive voice,CCSS.ELA.CCR.L.1
English,Grade 7,The author's ___ is evident in the choice of words.,Choose the word that names the author's attitude.,FillInBlank,"tone,theme,plot",A,200,2,CCSS.ELA-LITERACY.RL.7.4,Tone in text,CCSS.ELA.CCR.R.4
English,Grade 7,Neither the coach ___ the players were satisfied.,Choose the conjunction.,FillInBlank,"nor,or,and",A,190,1,CCSS.ELA-LITERACY.L.7.1,Correlative conjunction,CCSS.ELA.CCR.L.1
English,Grade 7,The ___ meaning of the word differs from its literal meaning.,Choose the term.,FillInBlank,"figurative,literal,formal",A,210,2,CCSS.ELA-LITERACY.L.7.5,Figurative vs literal,CCSS.ELA.CCR.L.5
English,Grade 7,The claim is ___; the evidence ___ it well.,Two blanks: adjective and verb.,FillInBlank,"convincing,convinced,convince; support,supports,supported",A;B,220,2,CCSS.ELA-LITERACY.RI.7.8,Argument and evidence,CCSS.ELA.CCR.R.8
English,Grade 7,The student ___ the source and ___ it in the bibliography.,Two blanks: verb and verb.,FillInBlank,"cite,cites,cited; list,lists,listed",A;A,208,2,CCSS.ELA-LITERACY.W.7.8,Research citation,CCSS.ELA.CCR.W.8
English,Grade 7,The pronoun ___ refers to the noun in the previous sentence.,Choose the word that completes the sentence.,FillInBlank,"it,its,they",A,185,2,CCSS.ELA-LITERACY.L.7.1,Pronoun reference,CCSS.ELA.CCR.L.1
English,Grade 7,The author ___ the reader to consider both sides.,Choose the verb that fits.,FillInBlank,"invite,invites,invited",C,198,2,CCSS.ELA-LITERACY.RI.7.4,Author's purpose vocabulary,CCSS.ELA.CCR.R.4
English,Grade 8,The experiment ___ conducted under controlled conditions.,Choose the correct passive form.,FillInBlank,"was,were,is",A,210,2,CCSS.ELA-LITERACY.L.8.1,Passive voice verb,CCSS.ELA.CCR.L.1
English,Grade 8,The author uses ___ to create a comparison without like or as.,Choose the figurative term.,FillInBlank,"metaphor,simile,hyperbole",A,215,2,CCSS.ELA-LITERACY.L.8.5,Metaphor identification,CCSS.ELA.CCR.L.5
English,Grade 8,The ___ of the essay is stated in the first paragraph.,Choose the word that names the main point.,FillInBlank,"thesis,theme,summary",A,205,2,CCSS.ELA-LITERACY.W.8.2,Thesis statement,CCSS.ELA.CCR.W.2
English,Grade 8,Everyone must submit ___ own work.,Choose the pronoun that agrees.,FillInBlank,"their,his or her,its",B,195,2,CCSS.ELA-LITERACY.L.8.1,Pronoun-antecedent agreement,CCSS.ELA.CCR.L.1
English,Grade 8,The tone of the passage is ___ and critical.,Choose the word that fits.,FillInBlank,"skeptical,skeptic,skeptically",A,220,2,CCSS.ELA-LITERACY.RL.8.4,Tone vocabulary,CCSS.ELA.CCR.R.4
English,Grade 8,The argument ___ on logic; the counterargument ___ emotion.,Two blanks: verb and verb.,FillInBlank,"rely,relies,relied; appeal,appeals,appealed",B;B,235,2,CCSS.ELA-LITERACY.RI.8.8,Argument structure,CCSS.ELA.CCR.R.8
English,Grade 8,The writer ___ a claim and then ___ it with examples.,Two blanks: verb and verb.,FillInBlank,"state,states,stated; support,supports,supported",A;A,212,2,CCSS.ELA-LITERACY.W.8.1,Claim and support,CCSS.ELA.CCR.W.1
English,Grade 8,The word has a ___ meaning in this context.,Choose the word that fits.,FillInBlank,"specific,specifically,specification",A,208,2,CCSS.ELA-LITERACY.L.8.4,Context and nuance,CCSS.ELA.CCR.L.4
English,Grade 8,The evidence from the text ___ the inference.,Choose the verb that fits.,FillInBlank,"support,supports,supported",B,225,2,CCSS.ELA-LITERACY.RI.8.1,Textual evidence,CCSS.ELA.CCR.R.1
English,Grade 9,The author's ___ suggests a critical attitude toward the subject.,Choose the word that names the author's stance.,FillInBlank,"tone,theme,thesis",A,240,2,CCSS.ELA-LITERACY.RL.9-10.4,Tone and attitude,CCSS.ELA.CCR.R.4
English,Grade 9,The sentence should be revised for ___ structure.,Choose the term for consistent form.,FillInBlank,"parallel,comparative,compound",A,235,2,CCSS.ELA-LITERACY.L.9-10.1,Parallel structure,CCSS.ELA.CCR.L.1
English,Grade 9,The writer uses ___ to strengthen the argument.,Choose the rhetorical device.,FillInBlank,"evidence,evident,evidently",A,230,2,CCSS.ELA-LITERACY.W.9-10.1,Argument and evidence,CCSS.ELA.CCR.W.1
English,Grade 9,The ___ of the word in this passage is negative.,Choose the word that names the feeling attached to a word.,FillInBlank,"connotation,denotation,definition",A,250,2,CCSS.ELA-LITERACY.L.9-10.5,Connotation vs denotation,CCSS.ELA.CCR.L.5
English,Grade 9,The research ___ the hypothesis.,Choose the verb that fits.,FillInBlank,"confirm,confirms,confirmed",C,228,1,CCSS.ELA-LITERACY.L.9-10.1,Verb tense in academic writing,CCSS.ELA.CCR.L.1
English,Grade 9,The author ___ the reader; the tone is ___.,Two blanks: verb and adjective.,FillInBlank,"persuade,persuades,persuaded; formal,informal,formally",A;A,255,2,CCSS.ELA-LITERACY.RI.9-10.4,Author's purpose and tone,CCSS.ELA.CCR.R.4
English,Grade 9,The clause is ___ because it can stand alone.,Choose the term.,FillInBlank,"independent,dependent,relative",A,238,2,CCSS.ELA-LITERACY.L.9-10.1,Sentence structure term,CCSS.ELA.CCR.L.1
English,Grade 9,The claim is ___ by data from the study.,Choose the verb form.,FillInBlank,"support,supports,supported",C,242,2,CCSS.ELA-LITERACY.W.9-10.1,Passive in argument,CCSS.ELA.CCR.W.1
English,Grade 9,The ___ between the two texts is evident.,Choose the word for comparison.,FillInBlank,"contrast,contrasting,contrasted",A,248,2,CCSS.ELA-LITERACY.RL.9-10.3,Compare and contrast,CCSS.ELA.CCR.R.3
English,Grade 10,The rhetorical ___ used is appeal to logic.,Choose the term.,FillInBlank,"device,devices,strategy",A,255,2,CCSS.ELA-LITERACY.L.9-10.5,Rhetorical device,CCSS.ELA.CCR.L.5
English,Grade 10,The author's ___ is to inform the reader.,Choose the word for author's goal.,FillInBlank,"purpose,theme,tone",A,245,2,CCSS.ELA-LITERACY.RI.9-10.6,Author's purpose,CCSS.ELA.CCR.R.6
English,Grade 10,The evidence ___ the claim is insufficient.,Choose the verb that fits.,FillInBlank,"support,supports,supporting",B,250,2,CCSS.ELA-LITERACY.W.9-10.1,Subject-verb agreement,CCSS.ELA.CCR.W.1
English,Grade 10,The word has a different ___ in legal contexts.,Choose the term.,FillInBlank,"meaning,meanings,meant",A,248,1,CCSS.ELA-LITERACY.L.9-10.4,Domain-specific meaning,CCSS.ELA.CCR.L.4
English,Grade 10,The passage uses ___ language to describe the scene.,Choose the word for vivid description.,FillInBlank,"descriptive,description,describe",A,252,2,CCSS.ELA-LITERACY.RL.9-10.4,Descriptive language,CCSS.ELA.CCR.R.4
English,Grade 10,The argument ___ a flaw; the counterargument ___ it.,Two blanks: verb and verb.,FillInBlank,"contain,contains,contained; expose,exposes,exposed",B;B,270,3,CCSS.ELA-LITERACY.RI.9-10.8,Argument analysis,CCSS.ELA.CCR.R.8
English,Grade 10,The writer ___ sources to ___ the thesis.,Two blanks: verb and verb.,FillInBlank,"cite,cites,cited; support,supports,supported",A;A,260,2,CCSS.ELA-LITERACY.W.9-10.8,Research and citation,CCSS.ELA.CCR.W.8
English,Grade 10,The tone ___ from serious to ironic.,Choose the verb that fits.,FillInBlank,"shift,shifts,shifted",C,255,2,CCSS.ELA-LITERACY.RL.9-10.4,Tone shift,CCSS.ELA.CCR.R.4
English,Grade 10,The ___ structure strengthens the argument.,Choose the term.,FillInBlank,"logical,logic,logically",A,248,2,CCSS.ELA-LITERACY.W.9-10.1,Argument structure,CCSS.ELA.CCR.W.1
English,Grade 11,The author employs ___ to create a comparison.,Choose the rhetorical term.,FillInBlank,"analogy,analyze,analysis",A,265,2,CCSS.ELA-LITERACY.L.11-12.5,Rhetorical device,CCSS.ELA.CCR.L.5
English,Grade 11,The ___ of the passage suggests skepticism.,Choose the word for author's attitude.,FillInBlank,"tone,theme,thesis",A,260,2,CCSS.ELA-LITERACY.RL.11-12.4,Tone analysis,CCSS.ELA.CCR.R.4
English,Grade 11,The research ___ a correlation between the variables.,Choose the verb that fits.,FillInBlank,"establish,establishes,established",C,255,1,CCSS.ELA-LITERACY.L.11-12.1,Verb tense in research,CCSS.ELA.CCR.L.1
English,Grade 11,The argument relies on ___ reasoning.,Choose the type of reasoning.,FillInBlank,"logical,logic,logically",A,268,2,CCSS.ELA-LITERACY.RI.11-12.8,Argument and reasoning,CCSS.ELA.CCR.R.8
English,Grade 11,The writer should use ___ language in the conclusion.,Choose the word for clear summary.,FillInBlank,"precise,precisely,precision",A,262,2,CCSS.ELA-LITERACY.W.11-12.2,Precise language in writing,CCSS.ELA.CCR.W.2
English,Grade 11,The claim is ___; the evidence ___ it.,Two blanks: adjective and verb.,FillInBlank,"valid,invalid,validity; support,supports,supported",A;B,278,3,CCSS.ELA-LITERACY.RI.11-12.8,Evaluate argument,CCSS.ELA.CCR.R.8
English,Grade 11,The author ___ the reader to question ___ assumptions.,Two blanks: verb and possessive.,FillInBlank,"invite,invites,invited; their,his or her,its",B;B,275,2,CCSS.ELA-LITERACY.RI.11-12.6,Author's purpose,CCSS.ELA.CCR.R.6
English,Grade 11,The ___ of the word depends on context.,Choose the term.,FillInBlank,"nuance,nuanced,nuances",A,270,2,CCSS.ELA-LITERACY.L.11-12.5,Word nuance,CCSS.ELA.CCR.L.5
English,Grade 11,The passage ___ an alternative perspective.,Choose the verb.,FillInBlank,"present,presents,presented",C,258,2,CCSS.ELA-LITERACY.RI.11-12.3,Author presents perspective,CCSS.ELA.CCR.R.3
English,Grade 12,The rhetorical strategy ___ pathos appeals to emotion.,Choose the verb that fits.,FillInBlank,"call,calls,called",C,275,2,CCSS.ELA-LITERACY.L.11-12.5,Rhetorical terms,CCSS.ELA.CCR.L.5
English,Grade 12,The author's ___ is evident in the diction.,Choose the word for author's stance.,FillInBlank,"bias,biased,biases",A,280,2,CCSS.ELA-LITERACY.RI.11-12.6,Author's bias,CCSS.ELA.CCR.R.6
English,Grade 12,The thesis ___ the main argument of the essay.,Choose the verb that agrees.,FillInBlank,"state,states,stated",B,265,1,CCSS.ELA-LITERACY.W.11-12.2,Thesis and verb agreement,CCSS.ELA.CCR.W.2
English,Grade 12,The ___ meaning of the term is different from its literal meaning.,Choose the term.,FillInBlank,"figurative,literal,concrete",A,278,2,CCSS.ELA-LITERACY.L.11-12.5,Figurative meaning,CCSS.ELA.CCR.L.5
English,Grade 12,The evidence is ___ and relevant.,Choose the adjective that fits.,FillInBlank,"sufficient,sufficiently,sufficiency",A,272,2,CCSS.ELA-LITERACY.W.11-12.1,Evidence quality,CCSS.ELA.CCR.W.1
English,Grade 12,The argument ___ a premise that is ___.,Two blanks: verb and adjective.,FillInBlank,"rest,rests,rested; questionable,question,questioned",B;A,290,3,CCSS.ELA-LITERACY.RI.11-12.8,Argument structure analysis,CCSS.ELA.CCR.R.8
English,Grade 12,The writer ___ the source and ___ it in the works cited.,Two blanks: verb and verb.,FillInBlank,"cite,cites,cited; list,lists,listed",A;A,278,2,CCSS.ELA-LITERACY.W.11-12.8,Research citation,CCSS.ELA.CCR.W.8
English,Grade 12,The ___ of the passage shifts in the final paragraph.,Choose the word for author's attitude.,FillInBlank,"tone,theme,thesis",A,276,2,CCSS.ELA-LITERACY.RL.11-12.4,Tone shift,CCSS.ELA.CCR.R.4
English,Grade 12,The convention ___ in formal writing.,Choose the verb that fits.,FillInBlank,"require,requires,is required",C,285,2,CCSS.ELA-LITERACY.L.11-12.1,Convention and passive,CCSS.ELA.CCR.L.1
Maths,Grade 1,___ + 4 = 7. So the missing number is ___.,Find the missing addend; two blanks for equation and answer.,FillInBlank,"3,4,5; 3,4,5",A;A,115,2,CCSS.MATH.CONTENT.1.OA.C.6,Add within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,There are ___ apples in the picture.,Count the objects.,FillInBlank,"7,8,9",B,105,1,CCSS.MATH.CONTENT.1.OA.C.5,Count to answer how many,CCSS.MATH.MP.4 CCSS.MATH.DOM.CC
Maths,Grade 1,8 − 3 = ___.,Find the difference.,FillInBlank,"4,5,6",B,102,1,CCSS.MATH.CONTENT.1.OA.C.6,Subtract within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,The number ___ is greater than 6 and less than 8.,Identify the number between 6 and 8.,FillInBlank,"5,6,7",C,115,2,CCSS.MATH.CONTENT.1.NBT.A.1,Compare two-digit numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,A square has ___ sides.,Name the number of sides of a shape.,FillInBlank,"3,4,5",B,108,1,CCSS.MATH.CONTENT.1.G.A.1,Identify shape attributes,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 1,10 = ___ + 6.,Find the missing addend.,FillInBlank,"3,4,5",B,118,2,CCSS.MATH.CONTENT.1.OA.D.8,Missing addend equation,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 1,The longer pencil has ___ units; the shorter has ___.,Two blanks: measure two pencils with same unit.,FillInBlank,"5,6,7; 3,4,5",B;B,135,2,CCSS.MATH.CONTENT.1.MD.A.2,Length in whole units,CCSS.MATH.MP.5 CCSS.MATH.DOM.MD
Maths,Grade 1,7 is ___ than 5; 3 is ___ than 5.,Compare numbers with word; two blanks.,FillInBlank,"less,greater,equal; less,greater,equal",B;A,125,2,CCSS.MATH.CONTENT.1.NBT.B.3,Compare two numbers,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 1,Layla has 9 stickers. She gives 4 away. She has ___ stickers left.,Word problem: subtraction result.,FillInBlank,"4,5,6",B,128,2,CCSS.MATH.CONTENT.1.OA.A.1,Subtraction word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.OA
Maths,Grade 2,25 + 14 = ___.,Find the sum of two two-digit numbers.,FillInBlank,"38,39,40",B,125,1,CCSS.MATH.CONTENT.2.NBT.B.5,Fluently add within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,The digit in the tens place of 47 is ___.,Identify place value.,FillInBlank,"4,7,47",A,110,1,CCSS.MATH.CONTENT.2.NBT.A.1,Understand tens and ones,CCSS.MATH.MP.7 CCSS.MATH.DOM.NBT
Maths,Grade 2,100 = ___ tens.,Convert hundreds to tens.,FillInBlank,"1,10,100",B,115,1,CCSS.MATH.CONTENT.2.NBT.A.1,Place value hundreds and tens,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 2,There are ___ days in one week.,Recall fact.,FillInBlank,"5,6,7",C,105,1,CCSS.MATH.CONTENT.2.MD.C.7,Time: days in a week,CCSS.MATH.MP.8 CCSS.MATH.DOM.MD
Maths,Grade 2,A rectangle has ___ right angles.,Identify shape property.,FillInBlank,"2,3,4",C,120,1,CCSS.MATH.CONTENT.2.G.A.1,Recognize shape attributes,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 2,56 − 28 = ___.,Find the difference.,FillInBlank,"26,27,28",C,140,1,CCSS.MATH.CONTENT.2.NBT.B.5,Fluently subtract within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,___ + 30 = 80.,Find missing addend.,FillInBlank,"40,50,60",B,135,2,CCSS.MATH.CONTENT.2.NBT.B.5,Missing addend within 100,CCSS.MATH.MP.1 CCSS.MATH.DOM.NBT
