Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Science,Grade 3,"Animals that have ___ are called mammals.",Traits of mammals.,FillInBlank,"fur,scales,feathers",A,125,1,3-LS2-1,Animal traits,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 3,"The diagram shows the ___. From it we see that clouds form when water ___. {sci_fitb_g3_q6.png}",Image: water cycle; name process and step.,FillInBlank,"water cycle,rock cycle,food chain; evaporates,freezes,sinks","A;B",175,2,3-ESS2-2,Water cycle,NGSS.SEP.4 NGSS.DCI.ESS2 NGSS.CCC.4
Science,Grade 3,"A ___ recycles dead matter in the ecosystem.",Decomposer role.,FillInBlank,"decomposer,producer,predator",A,155,2,3-LS2-1,Decomposers,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 3,"The data table shows that the plant grew ___ in the sunny spot.",Data conclusion.,FillInBlank,"more,less,the same",A,150,2,3-LS2-1,Data and growth,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 3,"Fossils are found in ___ rock.",Where fossils form.,FillInBlank,"sedimentary,igneous,metamorphic",A,160,2,3-LS4-1,Fossils and rock,NGSS.SEP.6 NGSS.DCI.ESS2
Science,Grade 3,"Light travels in ___ lines; sound travels in ___ through matter.",Two blanks: light and sound.,FillInBlank,"straight,curved,zigzag; waves,lines,rays","A;A",155,2,3-PS2-2,Light and vision,NGSS.SEP.2 NGSS.DCI.PS4
Science,Grade 4,"___ is the ability to do work or cause change.",Define energy.,FillInBlank,"Energy,Force,Matter",A,155,1,4-PS3-1,Definition of energy,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 4,"The ___ system carries blood; the ___ system carries air to the lungs.",Two blanks: circulatory and respiratory.,FillInBlank,"digestive,circulatory,nervous; respiratory,digestive,circulatory","B;A",165,2,4-LS1-1,Body systems,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 4,"Rocks can change over time through the ___ cycle.",Earth process.,FillInBlank,"rock,water,carbon",A,160,2,4-ESS2-1,Rock cycle,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 4,"Sound travels through ___ as vibrations; light can travel through ___ space.",Two blanks: matter and empty.,FillInBlank,"matter,space,vacuum; empty,full,dark","A;A",158,2,4-PS4-1,Sound and matter,NGSS.SEP.2 NGSS.DCI.PS4
Science,Grade 4,"A ___ shows how energy flows in an ecosystem.",Name the model.,FillInBlank,"food web,fossil,mineral",A,158,2,4-LS1-1,Food webs,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 4,"The graph shows that as temperature increases the ___ also increases. {sci_fitb_g4_q6.png}",Image: line graph; conclude relationship.,FillInBlank,"speed,pressure,volume",A,175,2,4-PS3-2,Data and energy,NGSS.SEP.4 NGSS.DCI.PS3 NGSS.CCC.3
Science,Grade 4,"The Moon ___ around Earth; Earth ___ around the Sun.",Two blanks: revolve and revolve.,FillInBlank,"revolves,stops,falls; revolves,rotates,spins","A;B",155,2,4-ESS1-1,Earth-Moon system,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 4,"When two forces are ___ the object does not move.",Balanced forces.,FillInBlank,"balanced,strong,unequal",A,165,2,4-PS3-1,Forces and balance,NGSS.SEP.2 NGSS.DCI.PS2
Science,Grade 4,"From the data table the material that conducted heat best was ___.",Data: compare conductors.,FillInBlank,"metal,wood,plastic",A,168,2,4-PS3-2,Heat transfer data,NGSS.SEP.4 NGSS.DCI.PS3
Science,Grade 4,"Plants make food using sunlight in a process called ___.",Name the process.,FillInBlank,"photosynthesis,respiration,digestion",A,162,2,4-LS1-1,Photosynthesis,NGSS.SEP.6 NGSS.DCI.LS1
Science,Grade 5,"___ cannot be created or destroyed only changed.",Conservation law.,FillInBlank,"Energy,Matter,Force",A,175,2,5-PS3-1,Conservation of energy,NGSS.SEP.2 NGSS.DCI.PS3 NGSS.CCC.5
Science,Grade 5,"The ___ system includes the Sun and planets.",Name the system.,FillInBlank,"solar,lunar,galaxy",A,155,1,5-ESS1-2,Solar system,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 5,"Matter is made of tiny particles called ___.",Particle model.,FillInBlank,"atoms,cells,molecules",A,165,2,5-PS1-1,Particles of matter,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 5,"Ecosystems have ___ (living) and ___ (non-living) parts.",Two blanks: biotic and abiotic.,FillInBlank,"biotic,abiotic,chemical; biotic,abiotic,physical","A;B",185,2,5-LS2-1,Ecosystem components,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 5,"The ___ cycle moves water between Earth and the atmosphere.",Water cycle.,FillInBlank,"water,carbon,nitrogen",A,160,1,5-ESS2-1,Water cycle,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 5,"The diagram shows a simple ___. The current flows from the battery through the ___. {sci_fitb_g5_q6.png}",Image: circuit; name and path.,FillInBlank,"circuit,magnet,motor; wire,switch,bulb","A;B",190,2,4-PS3-4,Electrical circuits,NGSS.SEP.4 NGSS.DCI.PS3 NGSS.CCC.4
Science,Grade 5,"The data table shows that the ___ variable affected growth the most.",Data: identify variable.,FillInBlank,"independent,dependent,control",A,178,2,5-LS2-1,Variables and data,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 5,"Gravity pulls objects toward the ___ of Earth.",Direction of gravity.,FillInBlank,"center,surface,pole",A,158,1,5-PS2-1,Gravity,NGSS.SEP.6 NGSS.DCI.PS2
Science,Grade 5,"A ___ is a trait that helps an organism survive.",Definition.,FillInBlank,"adaptation,mutation,fossil",A,170,2,3-LS4-2,Adaptations,NGSS.SEP.6 NGSS.DCI.LS4
Science,Grade 5,"From the graph the population ___ when resources were limited.",Data conclusion.,FillInBlank,"increased,decreased,stayed same",B,172,2,5-LS2-1,Population and resources,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 6,"In a chemical ___ new substances are formed.",Chemical change.,FillInBlank,"reaction,mixture,solution",A,175,1,MS-PS1-2,Chemical reactions,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 6,"The ___ pumps blood; the ___ exchange gases with the air.",Two blanks: heart and lungs.,FillInBlank,"heart,lungs,brain; lungs,heart,kidneys","A;B",178,2,MS-LS1-3,Organ systems,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 6,"Earth's ___ causes day and night; its ___ causes the seasons.",Two blanks: rotation and tilt.,FillInBlank,"rotation,revolution,tilt; rotation,tilt,orbit","A;B",185,2,MS-ESS1-1,Earth's rotation,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 6,"___ energy is energy of motion; ___ energy is stored energy.",Two blanks: kinetic and potential.,FillInBlank,"Kinetic,Potential,Chemical; Kinetic,Potential,Thermal","A;B",178,2,MS-PS3-1,Kinetic energy,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 6,"In an ecosystem ___ are organisms that make their own food.",Producers.,FillInBlank,"producers,consumers,decomposers",A,172,1,MS-LS2-1,Producers,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 6,"The data show that as ___ increased the reaction rate increased. {sci_fitb_g6_q6.png}",Image: graph; conclude factor.,FillInBlank,"temperature,volume,pressure",A,195,2,MS-PS1-2,Reaction rate and data,NGSS.SEP.4 NGSS.DCI.PS1 NGSS.CCC.3
Science,Grade 6,"The ___ system breaks down food for energy.",Digestive system.,FillInBlank,"digestive,circulatory,respiratory",A,168,1,MS-LS1-7,Digestion,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 6,"Waves transfer ___ without transferring matter.",What waves transfer.,FillInBlank,"energy,water,sound",A,178,2,MS-PS4-1,Waves and energy,NGSS.SEP.2 NGSS.DCI.PS4
Science,Grade 6,"From the table the layer that is oldest is at the ___.",Data: rock layers.,FillInBlank,"bottom,top,middle",A,182,2,MS-ESS2-3,Relative dating,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 6,"A ___ is a testable prediction.",Definition of hypothesis.,FillInBlank,"hypothesis,theory,law",A,175,1,MS-ETS1-1,Scientific method,NGSS.SEP.3 NGSS.DCI.ETS1
Science,Grade 7,"___ is stored energy.",Potential energy.,FillInBlank,"Potential,Kinetic,Thermal",A,180,1,MS-PS3-2,Potential energy,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 7,"DNA carries ___ information.",Genetic material.,FillInBlank,"genetic,chemical,electrical",A,185,2,MS-LS3-1,DNA and heredity,NGSS.SEP.4 NGSS.DCI.LS3
Science,Grade 7,"Plate ___ can cause earthquakes.",Tectonics.,FillInBlank,"tectonics,rotation,erosion",A,190,2,MS-ESS2-2,Plate tectonics,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 7,"In a ___ the parts work together as a whole.",System definition.,FillInBlank,"system,mixture,compound",A,178,1,MS-LS2-3,System interactions,NGSS.SEP.2 NGSS.DCI.LS2 NGSS.CCC.4
Science,Grade 7,"The graph shows that the two variables have a ___ relationship. {sci_fitb_g7_q6.png}",Image: scatter plot; describe relationship.,FillInBlank,"positive,negative,no",A,200,2,MS-PS3-1,Data and relationships,NGSS.SEP.4 NGSS.DCI.PS3 NGSS.CCC.3
Science,Grade 7,"___ selection can lead to changes in a species over time.",Natural selection.,FillInBlank,"Natural,Artificial,Random",A,195,2,MS-LS4-4,Natural selection,NGSS.SEP.2 NGSS.DCI.LS4
Science,Grade 7,"Heat moves from ___ to cold; ___ is one way heat travels through solids.",Two blanks: hot and conduction.,FillInBlank,"hot,warm,cool; conduction,radiation,convection","A;A",192,2,MS-PS3-3,Heat transfer,NGSS.SEP.2 NGSS.DCI.PS3
Science,Grade 7,"From the data the ___ had the highest biodiversity.",Data conclusion.,FillInBlank,"forest,wetland,desert",A,198,2,MS-LS2-4,Biodiversity data,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 7,"The ___ cycle moves carbon; the ___ cycle moves water between Earth and the sky.",Two blanks: carbon and water.,FillInBlank,"carbon,water,nitrogen; water,carbon,nitrogen","A;B",195,2,MS-ESS2-1,Carbon cycle,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 7,"An ___ is a proposed explanation; a ___ is a testable prediction.",Two blanks: inference and hypothesis.,FillInBlank,"inference,observation,measurement; hypothesis,theory,law","A;B",192,2,MS-ETS1-2,Engineering design,NGSS.SEP.6 NGSS.DCI.ETS1
Science,Grade 8,"Atoms are made of protons neutrons and ___.",Subatomic particles.,FillInBlank,"electrons,quarks,photons",A,195,1,MS-PS1-1,Atomic structure,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 8,"___ resists motion between surfaces; ___ pulls objects toward Earth.",Two blanks: friction and gravity.,FillInBlank,"Friction,Gravity,Momentum; Friction,Gravity,Momentum","A;B",195,2,MS-PS2-2,Forces,NGSS.SEP.6 NGSS.DCI.PS2
Science,Grade 8,"The ___ is the basic unit of life; the ___ is the control center of the cell.",Two blanks: cell and nucleus.,FillInBlank,"cell,tissue,organ; nucleus,membrane,cytoplasm","A;B",192,2,MS-LS1-1,Cell theory,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 8,"Climate is the average ___ over a long time.",Weather vs climate.,FillInBlank,"weather,temperature,rainfall",A,192,2,MS-ESS2-5,Climate,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 8,"The data indicate that the ___ had the greatest effect on plant height. {sci_fitb_g8_q6.png}",Image: bar graph; identify variable.,FillInBlank,"fertilizer,light,water",A,205,2,MS-LS1-5,Controlled experiment data,NGSS.SEP.4 NGSS.DCI.LS1 NGSS.CCC.2
Science,Grade 8,"In ___ reproduction offspring are genetically identical to the parent.",Asexual reproduction.,FillInBlank,"asexual,sexual,both",A,198,2,MS-LS3-2,Reproduction types,NGSS.SEP.2 NGSS.DCI.LS3
Science,Grade 8,"The periodic table organizes elements by their atomic ___.",Periodic table.,FillInBlank,"number,mass,symbol",A,200,2,MS-PS1-1,Periodic table,NGSS.SEP.4 NGSS.DCI.PS1
Science,Grade 8,"From the fossil record we can infer that ___ lived in the past.",Fossil evidence.,FillInBlank,"organisms,rocks,minerals",A,202,2,MS-LS4-1,Fossil record,NGSS.SEP.4 NGSS.DCI.LS4
Science,Grade 8,"___ energy comes from the Sun; ___ energy is stored in bonds.",Two blanks: solar and chemical.,FillInBlank,"Solar,Nuclear,Geothermal; Chemical,Kinetic,Potential","A;B",198,2,MS-PS3-3,Energy sources,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 8,"A ___ variable is what you change in an experiment.",Independent variable.,FillInBlank,"independent,dependent,control",A,195,2,MS-ETS1-3,Variables,NGSS.SEP.3 NGSS.DCI.ETS1
Science,Grade 9,"In a ___ reaction the total mass of products equals the total mass of reactants.",Conservation of mass.,FillInBlank,"chemical,physical,nuclear",A,210,2,HS-PS1-7,Conservation of mass,NGSS.SEP.2 NGSS.DCI.PS1 NGSS.CCC.5
Science,Grade 9,"___ carries the genetic code from DNA to the ribosome.",mRNA role.,FillInBlank,"mRNA,tRNA,rRNA",A,220,2,HS-LS1-1,Gene expression,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 9,"The Big ___ theory describes the origin of the universe.",Cosmology.,FillInBlank,"Bang,Crunch,Freeze",A,215,2,HS-ESS1-2,Origin of universe,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 9,"___ is the rate of change of velocity; ___ is speed in a given direction.",Two blanks: acceleration and velocity.,FillInBlank,"Acceleration,Velocity,Speed; Velocity,Speed,Acceleration","A;B",218,2,HS-PS2-1,Motion,NGSS.SEP.6 NGSS.DCI.PS2
Science,Grade 9,"Ecosystem ___ helps maintain balance in nature.",Ecosystem stability.,FillInBlank,"stability,diversity,collapse",A,218,2,HS-LS2-6,Ecosystem stability,NGSS.SEP.2 NGSS.DCI.LS2 NGSS.CCC.7
Science,Grade 9,"The graph shows ___ growth: the population increases by a fixed percentage each year. {sci_fitb_g9_q6.png}",Image: exponential curve; name growth type.,FillInBlank,"exponential,linear,logistic",A,235,2,HS-LS2-1,Population growth data,NGSS.SEP.4 NGSS.DCI.LS2 NGSS.CCC.3
Science,Grade 9,"___ feedback amplifies a change; ___ feedback reduces it.",Two blanks: positive and negative feedback.,FillInBlank,"Positive,Negative,Neutral; Positive,Negative,Neutral","A;B",240,3,HS-LS2-6,Feedback loops,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 9,"From the data the reaction rate was highest at ___ pH.",Data conclusion.,FillInBlank,"neutral,acidic,alkaline",A,225,2,HS-PS1-5,Reaction conditions,NGSS.SEP.4 NGSS.DCI.PS1
Science,Grade 9,"The ___ layer protects from UV; ___ gases trap heat in the atmosphere.",Two blanks: ozone and greenhouse.,FillInBlank,"ozone,carbon,nitrogen; greenhouse,noble,inert","A;B",225,2,HS-ESS2-4,Ozone layer,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 9,"___ design involves defining problems and developing solutions.",Engineering.,FillInBlank,"Engineering,Scientific,Mathematical",A,208,1,HS-ETS1-1,Engineering design,NGSS.SEP.1 NGSS.DCI.ETS1
Science,Grade 10,"___ is the capacity to do work.",Energy definition.,FillInBlank,"Energy,Power,Force",A,215,1,HS-PS3-1,Energy,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 10,"___ selection occurs when humans breed organisms for desired traits.",Artificial selection.,FillInBlank,"Artificial,Natural,Sexual",A,225,2,HS-LS4-5,Artificial selection,NGSS.SEP.2 NGSS.DCI.LS4
Science,Grade 10,"Earth's ___ keeps the planet warm enough for life.",Greenhouse effect.,FillInBlank,"atmosphere,core,mantle",A,220,2,HS-ESS2-4,Greenhouse effect,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 10,"In ___ equilibrium the forward and reverse reaction rates are equal.",Chemical equilibrium.,FillInBlank,"dynamic,static,neutral",A,235,2,HS-PS1-6,Chemical equilibrium,NGSS.SEP.2 NGSS.DCI.PS1 NGSS.CCC.7
Science,Grade 10,"The data show a ___ between temperature and enzyme activity. {sci_fitb_g10_q6.png}",Image: bell curve; name relationship.,FillInBlank,"peak,linear,inverse",A,240,2,HS-LS1-1,Enzyme data,NGSS.SEP.4 NGSS.DCI.LS1 NGSS.CCC.3
Science,Grade 10,"___ flow in ecosystems is one-way; ___ cycle through the system.",Two blanks: energy and matter.,FillInBlank,"Energy,Matter,Heat; Energy,Matter,Nutrients","A;C",245,2,HS-LS2-3,Energy and matter in ecosystems,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 10,"Radiometric ___ is used to date rocks.",Dating method.,FillInBlank,"dating,testing,scanning",A,228,2,HS-ESS1-6,Relative and absolute dating,NGSS.SEP.4 NGSS.DCI.ESS1
Science,Grade 10,"From the graph the ___ was the limiting factor.",Data conclusion.,FillInBlank,"nutrient,light,temperature",A,238,2,HS-LS2-1,Limiting factors,NGSS.SEP.4 NGSS.DCI.LS2
Science,Grade 10,"___ bonds form when atoms share electrons; ___ bonds form when electrons transfer.",Two blanks: covalent and ionic.,FillInBlank,"Covalent,Ionic,Hydrogen; Covalent,Ionic,Hydrogen","A;B",242,2,HS-PS1-2,Chemical bonding,NGSS.SEP.2 NGSS.DCI.PS1
Science,Grade 10,"Scientific ___ are well-supported explanations; scientific ___ describe what always happens.",Two blanks: theories and laws.,FillInBlank,"theories,hypotheses,laws; theories,hypotheses,laws","A;C",235,2,HS-ETS1-2,Nature of science,NGSS.SEP.6 NGSS.DCI.ETS1
Science,Grade 11,"___ is the study of how energy transforms.",Thermodynamics.,FillInBlank,"Thermodynamics,Mechanics,Optics",A,245,2,HS-PS3-4,Thermodynamics,NGSS.SEP.2 NGSS.DCI.PS3
Science,Grade 11,"___ expression is when DNA is used to make proteins.",Gene expression.,FillInBlank,"Gene,Cell,Protein",A,250,2,HS-LS1-1,Gene expression,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 11,"Plate ___ drives the movement of Earth's lithosphere.",Tectonics.,FillInBlank,"tectonics,rotation,convection",A,248,2,HS-ESS2-3,Plate tectonics,NGSS.SEP.4 NGSS.DCI.ESS2
Science,Grade 11,"In a closed system total ___ is conserved.",Conservation.,FillInBlank,"energy,matter,momentum",A,255,2,HS-PS3-1,Conservation of energy,NGSS.SEP.2 NGSS.DCI.PS3 NGSS.CCC.5
Science,Grade 11,"The data suggest that the population reached ___ capacity. {sci_fitb_g11_q6.png}",Image: S-curve; carrying capacity.,FillInBlank,"carrying,maximum,minimum",A,265,2,HS-LS2-1,Carrying capacity data,NGSS.SEP.4 NGSS.DCI.LS2 NGSS.CCC.3
Science,Grade 11,"___ drift and natural selection are mechanisms of evolution.",Genetic drift.,FillInBlank,"Genetic,Natural,Artificial",A,258,2,HS-LS4-2,Mechanisms of evolution,NGSS.SEP.2 NGSS.DCI.LS4
Science,Grade 11,"Climate ___ refers to long-term temperature change; ___ gases contribute to warming.",Two blanks: change and greenhouse.,FillInBlank,"change,cycle,variation; greenhouse,noble,inert","A;B",262,2,HS-ESS3-5,Climate change,NGSS.SEP.4 NGSS.DCI.ESS3
Science,Grade 11,"A ___ model represents a system using equations or simulations.",Scientific modeling.,FillInBlank,"mathematical,physical,conceptual",A,260,2,HS-ETS1-4,Modeling,NGSS.SEP.2 NGSS.DCI.ETS1 NGSS.CCC.4
Science,Grade 11,"From the data the ___ hypothesis was supported and the ___ was rejected.",Two blanks: alternative and null.,FillInBlank,"alternative,null,experimental; alternative,null,experimental","A;B",268,2,HS-ETS1-3,Hypothesis testing,NGSS.SEP.4 NGSS.DCI.ETS1
Science,Grade 11,"___ potential is stored in chemical bonds; ___ energy is stored by position.",Two blanks: chemical and potential.,FillInBlank,"Chemical,Kinetic,Gravitational; Gravitational,Chemical,Kinetic","A;B",258,2,HS-PS3-2,Forms of energy,NGSS.SEP.6 NGSS.DCI.PS3
Science,Grade 12,"___ law states that energy cannot be created or destroyed.",First law of thermodynamics.,FillInBlank,"First,Second,Third",A,265,2,HS-PS3-4,First law thermodynamics,NGSS.SEP.2 NGSS.DCI.PS3 NGSS.CCC.5
Science,Grade 12,"___ synthesis is the process of making proteins from mRNA.",Translation.,FillInBlank,"Protein,DNA,RNA",A,270,2,HS-LS1-1,Protein synthesis,NGSS.SEP.4 NGSS.DCI.LS1
Science,Grade 12,"The ___ effect explains why greenhouse gases warm the planet.",Greenhouse.,FillInBlank,"greenhouse,albedo,coriolis",A,268,2,HS-ESS3-6,Greenhouse effect,NGSS.SEP.4 NGSS.DCI.ESS3
Science,Grade 12,"In ___ equilibrium a system returns to balance after a disturbance.",Stable equilibrium.,FillInBlank,"stable,unstable,neutral",A,275,2,HS-PS3-1,Equilibrium,NGSS.SEP.2 NGSS.DCI.PS3 NGSS.CCC.7
Science,Grade 12,"The graph shows that the system reached ___ when the rates became equal. {sci_fitb_g12_q6.png}",Image: equilibrium curve; name state.,FillInBlank,"equilibrium,maximum,minimum",A,280,3,HS-PS1-6,Dynamic equilibrium data,NGSS.SEP.4 NGSS.DCI.PS1 NGSS.CCC.3
Science,Grade 12,"___ diversity is variation within a species; ___ diversity is the variety of species.",Two blanks: genetic and species.,FillInBlank,"Genetic,Species,Ecosystem; Genetic,Species,Ecosystem","A;B",278,2,HS-LS2-6,Biodiversity and resilience,NGSS.SEP.2 NGSS.DCI.LS2
Science,Grade 12,"___ reasoning uses specific observations to reach general conclusions.",Inductive reasoning.,FillInBlank,"Inductive,Deductive,Abductive",A,278,2,HS-ETS1-2,Scientific reasoning,NGSS.SEP.6 NGSS.DCI.ETS1
Science,Grade 12,"Nuclear ___ combines nuclei; nuclear ___ splits a nucleus.",Two blanks: fusion and fission.,FillInBlank,"fusion,fission,decay; fusion,fission,decay","A;B",282,2,HS-PS1-8,Nuclear fusion,NGSS.SEP.4 NGSS.DCI.PS1
Science,Grade 12,"From the data we can ___ that the treatment had an effect; the ___ was significant.",Two blanks: infer and result.,FillInBlank,"infer,observe,measure; result,data,error","A;B",278,2,HS-ETS1-3,Inference from data,NGSS.SEP.4 NGSS.DCI.ETS1
Science,Grade 12,"___ feedback maintains homeostasis in organisms.",Negative feedback.,FillInBlank,"Negative,Positive,Neutral",A,273,2,HS-LS1-3,Homeostasis,NGSS.SEP.2 NGSS.DCI.LS1 NGSS.CCC.7
