Subject,Grade,QuestionText,Description,questionType,blankOptions,blankCorrects,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 2,"25 + 14 = ___.",Find the sum of two two-digit numbers.,FillInBlank,"38,39,40",B,125,1,CCSS.MATH.CONTENT.2.NBT.B.5,Fluently add within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,"The digit in the tens place of 47 is ___.",Identify place value.,FillInBlank,"4,7,47",A,110,1,CCSS.MATH.CONTENT.2.NBT.A.1,Understand tens and ones,CCSS.MATH.MP.7 CCSS.MATH.DOM.NBT
Maths,Grade 2,"100 = ___ tens.",Convert hundreds to tens.,FillInBlank,"1,10,100",B,115,1,CCSS.MATH.CONTENT.2.NBT.A.1,Place value hundreds and tens,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 2,"There are ___ days in one week.",Recall fact.,FillInBlank,"5,6,7",C,105,1,CCSS.MATH.CONTENT.2.MD.C.7,Time: days in a week,CCSS.MATH.MP.8 CCSS.MATH.DOM.MD
Maths,Grade 2,"A rectangle has ___ right angles.",Identify shape property.,FillInBlank,"2,3,4",C,120,1,CCSS.MATH.CONTENT.2.G.A.1,Recognize shape attributes,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 2,"Sara buys 3 bags of 5 oranges each. She has ___ oranges altogether. {math_fitb_g2_q6.png}",Word problem: image shows 3 groups of 5; find total.,FillInBlank,"8,15,18",B,155,2,CCSS.MATH.CONTENT.2.OA.C.4,Repeated addition word problem,CCSS.MATH.MP.4 CCSS.MATH.DOM.OA
Maths,Grade 2,"56 − 28 = ___.",Find the difference.,FillInBlank,"26,27,28",C,140,1,CCSS.MATH.CONTENT.2.NBT.B.5,Fluently subtract within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 2,"___ + 30 = 80.",Find missing addend.,FillInBlank,"40,50,60",B,135,2,CCSS.MATH.CONTENT.2.NBT.B.5,Missing addend within 100,CCSS.MATH.MP.1 CCSS.MATH.DOM.NBT
Maths,Grade 2,"A ribbon is 12 cm long. Another is 8 cm. The first is ___ cm longer than the second.",Word problem: compare lengths.,FillInBlank,"2,4,6",B,148,2,CCSS.MATH.CONTENT.2.MD.A.4,Compare lengths,CCSS.MATH.MP.1 CCSS.MATH.DOM.MD
Maths,Grade 2,"7 + 8 = ___. The sum of 7 and 9 is ___.",Add within 20; two sums.,FillInBlank,"14,15,16; 15,16,17","B;C",130,2,CCSS.MATH.CONTENT.2.OA.B.2,Add within 20,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 3,"6 × 4 = ___. Also 6 × 3 = ___.",Find products; two blanks.,FillInBlank,"20,22,24; 16,18,20","C;B",135,2,CCSS.MATH.CONTENT.3.OA.C.7,Multiply within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 3,"The fraction that names one half is ___.",Identify fraction from model.,FillInBlank,"1/2,1/3,1/4",A,125,1,CCSS.MATH.CONTENT.3.NF.A.1,Understand unit fraction,CCSS.MATH.MP.7 CCSS.MATH.DOM.NF
Maths,Grade 3,"248 rounded to the nearest ten is ___.",Round to nearest ten.,FillInBlank,"240,245,250",C,140,1,CCSS.MATH.CONTENT.3.NBT.A.1,Round to nearest 10 or 100,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 3,"A square has ___ equal sides.",Name property of a square.,FillInBlank,"2,3,4",C,108,1,CCSS.MATH.CONTENT.3.G.A.1,Understand quadrilateral attributes,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 3,"1 meter = ___ centimeters.",Convert meters to centimeters.,FillInBlank,"10,100,1000",B,130,1,CCSS.MATH.CONTENT.3.MD.A.2,Convert within metric system,CCSS.MATH.MP.8 CCSS.MATH.DOM.MD
Maths,Grade 3,"A box has 24 pencils. They are shared equally among 6 students. Each student gets ___ pencils. {math_fitb_g3_q6.png}",Word problem: image shows 24 items in 6 groups; division.,FillInBlank,"3,4,5",B,155,2,CCSS.MATH.CONTENT.3.OA.A.2,Division word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.OA
Maths,Grade 3,"2/3 is ___ than 1/3.",Compare fractions with same denominator.,FillInBlank,"less,greater,equal",B,145,2,CCSS.MATH.CONTENT.3.NF.A.3,Compare fractions,CCSS.MATH.MP.6 CCSS.MATH.DOM.NF
Maths,Grade 3,"___ × 7 = 42. So the unknown factor is ___.",Find unknown factor; two blanks.,FillInBlank,"5,6,7; 5,6,7","B;B",138,2,CCSS.MATH.CONTENT.3.OA.A.4,Unknown factor multiplication,CCSS.MATH.MP.1 CCSS.MATH.DOM.OA
Maths,Grade 3,"A garden is 5 m long and 3 m wide. The perimeter is ___ meters.",Word problem: perimeter of rectangle.,FillInBlank,"15,16,17",B,160,2,CCSS.MATH.CONTENT.3.MD.D.8,Perimeter word problem,CCSS.MATH.MP.4 CCSS.MATH.DOM.MD
Maths,Grade 3,"The product of 9 and 5 is ___. The product of 8 and 4 is ___.",Multiply; two products.,FillInBlank,"35,40,45; 30,32,34","C;B",130,2,CCSS.MATH.CONTENT.3.OA.C.7,Fluently multiply within 100,CCSS.MATH.MP.2 CCSS.MATH.DOM.OA
Maths,Grade 4,"3/4 + 1/4 = ___.",Add fractions with same denominator.,FillInBlank,"4/4,1,2/4",B,150,1,CCSS.MATH.CONTENT.4.NF.B.3,Add fractions same denominator,CCSS.MATH.MP.2 CCSS.MATH.DOM.NF
Maths,Grade 4,"The decimal 0.5 is equal to the fraction ___.",Relate decimal and fraction.,FillInBlank,"1/4,1/2,1/3",B,145,1,CCSS.MATH.CONTENT.4.NF.C.6,Decimal notation for tenths hundredths,CCSS.MATH.MP.7 CCSS.MATH.DOM.NF
Maths,Grade 4,"72 ÷ 8 = ___.",Find the quotient.,FillInBlank,"7,8,9",C,125,1,CCSS.MATH.CONTENT.4.NBT.B.6,Divide by one-digit divisor,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 4,"A right angle measures ___ degrees.",Recall angle measure.,FillInBlank,"90,180,360",A,105,1,CCSS.MATH.CONTENT.4.G.A.1,Identify right angles,CCSS.MATH.MP.8 CCSS.MATH.DOM.G
Maths,Grade 4,"1 liter = ___ milliliters.",Convert liters to milliliters.,FillInBlank,"10,100,1000",C,128,1,CCSS.MATH.CONTENT.4.MD.A.1,Convert measurement units,CCSS.MATH.MP.8 CCSS.MATH.DOM.MD
Maths,Grade 4,"A store has 356 books. They ship 128. ___ books remain. {math_fitb_g4_q6.png}",Word problem: image shows books; subtraction result.,FillInBlank,"228,230,232",A,168,2,CCSS.MATH.CONTENT.4.NBT.B.4,Subtraction word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.NBT
Maths,Grade 4,"The factors of 12 include 1 and ___. The factors of 18 include 2 and ___.",List factors; two blanks.,FillInBlank,"6,8,10; 8,9,10","A;B",162,2,CCSS.MATH.CONTENT.4.OA.B.4,Find factor pairs,CCSS.MATH.MP.7 CCSS.MATH.DOM.OA
Maths,Grade 4,"___ × 100 = 5400. So the missing factor is ___.",Find unknown factor; two blanks.,FillInBlank,"54,540,5400; 54,540,5400","A;A",165,2,CCSS.MATH.CONTENT.4.NBT.A.1,Place value multiply by 10,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 4,"A train travels 60 km in 1 hour. In 2 hours it travels ___ km. In 3 hours it travels ___ km.",Word problem: two distances.,FillInBlank,"120,180,240; 120,180,240","A;B",168,2,CCSS.MATH.CONTENT.4.OA.A.2,Multiplication word problem,CCSS.MATH.MP.4 CCSS.MATH.DOM.OA
Maths,Grade 4,"An obtuse angle is ___ than 90 degrees.",Compare angle types.,FillInBlank,"less,greater,equal",B,142,1,CCSS.MATH.CONTENT.4.G.A.1,Compare angles,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 5,"2/5 + 1/5 = ___.",Add fractions same denominator.,FillInBlank,"2/10,3/5,3/10",B,135,1,CCSS.MATH.CONTENT.5.NF.A.1,Add fractions same denominator,CCSS.MATH.MP.2 CCSS.MATH.DOM.NF
Maths,Grade 5,"0.3 × 10 = ___.",Multiply decimal by power of 10.,FillInBlank,"0.03,3,30",B,140,1,CCSS.MATH.CONTENT.5.NBT.A.2,Powers of 10 and decimals,CCSS.MATH.MP.6 CCSS.MATH.DOM.NBT
Maths,Grade 5,"The volume of a rectangular prism is length × width × ___.",Complete volume formula.,FillInBlank,"area,height,perimeter",B,150,1,CCSS.MATH.CONTENT.5.MD.C.5,Volume formula,CCSS.MATH.MP.8 CCSS.MATH.DOM.MD
Maths,Grade 5,"1/2 is ___ 2/4.",Compare fractions using equivalence.,FillInBlank,"less than,greater than,equal to",C,155,2,CCSS.MATH.CONTENT.5.NF.A.1,Equivalent fractions,CCSS.MATH.MP.7 CCSS.MATH.DOM.NF
Maths,Grade 5,"A coordinate pair (0, 0) is called the ___.",Name origin on coordinate plane.,FillInBlank,"origin,axis,quadrant",A,148,1,CCSS.MATH.CONTENT.5.G.A.1,Coordinate system origin,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 5,"A cyclist rides 15 km each day for 4 days. She rides ___ km in total. {math_fitb_g5_q6.png}",Word problem: image shows distance; total.,FillInBlank,"19,50,60",C,162,2,CCSS.MATH.CONTENT.5.NBT.B.5,Multiplication word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.NBT
Maths,Grade 5,"12.5 − 4.3 = ___. Also 15.2 − 6.1 = ___.",Subtract decimals; two blanks.,FillInBlank,"8.2,8.8,9.2; 8.1,9.1,10.1","A;B",158,2,CCSS.MATH.CONTENT.5.NBT.B.7,Subtract decimals,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 5,"The quotient 144 ÷ 12 is ___. The quotient 120 ÷ 10 is ___.",Divide; two quotients.,FillInBlank,"10,11,12; 10,11,12","C;B",150,2,CCSS.MATH.CONTENT.5.NBT.B.6,Divide multi-digit numbers,CCSS.MATH.MP.2 CCSS.MATH.DOM.NBT
Maths,Grade 5,"A tank holds 500 L. After 125 L is used ___ liters remain.",Word problem: subtraction.,FillInBlank,"375,385,425",A,158,2,CCSS.MATH.CONTENT.5.NBT.B.7,Subtraction word problem decimals,CCSS.MATH.MP.1 CCSS.MATH.DOM.NBT
Maths,Grade 5,"A triangle has ___ sides. A pentagon has ___ sides.",Recall shape properties; two blanks.,FillInBlank,"2,3,4; 4,5,6","B;B",115,2,CCSS.MATH.CONTENT.5.G.B.3,Classify two-dimensional figures,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 6,"The ratio of 6 to 9 in simplest form is ___ to ___.",Simplify ratio; two blanks for the simplified pair.,FillInBlank,"2,3,6; 3,4,9","A;B",175,2,CCSS.MATH.CONTENT.6.RP.A.1,Understand ratio language,CCSS.MATH.MP.6 CCSS.MATH.DOM.RP
Maths,Grade 6,"−5 + 3 = ___.",Add integers.,FillInBlank,"-8,-2,2",B,155,1,CCSS.MATH.CONTENT.6.NS.C.5,Add integers different signs,CCSS.MATH.MP.2 CCSS.MATH.DOM.NS
Maths,Grade 6,"If 2x = 10 then x = ___.",Solve one-step equation.,FillInBlank,"4,5,6",B,145,1,CCSS.MATH.CONTENT.6.EE.B.7,Solve equation,CCSS.MATH.MP.1 CCSS.MATH.DOM.EE
Maths,Grade 6,"The absolute value of −7 is ___.",Find absolute value.,FillInBlank,"-7,0,7",C,140,1,CCSS.MATH.CONTENT.6.NS.C.7,Understand absolute value,CCSS.MATH.MP.6 CCSS.MATH.DOM.NS
Maths,Grade 6,"30% of 80 = ___.",Find percent of a number.,FillInBlank,"24,26,28",A,165,2,CCSS.MATH.CONTENT.6.RP.A.3,Find percent of number,CCSS.MATH.MP.2 CCSS.MATH.DOM.RP
Maths,Grade 6,"A recipe uses flour and sugar in the ratio 3:2. For 9 cups of flour ___ cups of sugar are needed. {math_fitb_g6_q6.png}",Word problem: image shows ratio; find missing part.,FillInBlank,"4,6,8",B,185,2,CCSS.MATH.CONTENT.6.RP.A.3,Ratio word problem,CCSS.MATH.MP.4 CCSS.MATH.DOM.RP
Maths,Grade 6,"The area of a rectangle 5 cm by 8 cm is ___ square cm. A rectangle 4 cm by 9 cm has area ___ square cm.",Find area; two blanks.,FillInBlank,"13,35,40; 32,35,36","C;C",145,2,CCSS.MATH.CONTENT.6.G.A.1,Area of rectangle,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 6,"The mean of 4 and 8 and 6 is ___.",Find mean of three numbers.,FillInBlank,"5,6,7",B,150,1,CCSS.MATH.CONTENT.6.SP.B.5,Summarize numerical data mean,CCSS.MATH.MP.8 CCSS.MATH.DOM.SP
Maths,Grade 6,"A shirt costs 40. After a 25% discount the price is ___.",Word problem: percent decrease.,FillInBlank,"10,30,35",B,178,2,CCSS.MATH.CONTENT.6.RP.A.3,Percent application,CCSS.MATH.MP.1 CCSS.MATH.DOM.RP
Maths,Grade 6,"−4 × (−3) = ___. Also −2 × (−5) = ___.",Multiply negative integers; two blanks.,FillInBlank,"-12,-7,12; -10,10,7","C;B",172,2,CCSS.MATH.CONTENT.6.NS.C.5,Multiply integers,CCSS.MATH.MP.2 CCSS.MATH.DOM.NS
Maths,Grade 7,"On a number line −2 is to the ___ of 0.",Compare integers on number line.,FillInBlank,"left,right,same",A,145,1,CCSS.MATH.CONTENT.6.NS.C.6,Number line and integers,CCSS.MATH.MP.7 CCSS.MATH.DOM.NS
Maths,Grade 7,"If 3x − 5 = 10 then x = ___.",Solve two-step equation.,FillInBlank,"3,5,6",B,180,2,CCSS.MATH.CONTENT.7.EE.B.4,Solve two-step equation,CCSS.MATH.MP.1 CCSS.MATH.DOM.EE
Maths,Grade 7,"The probability of an impossible event is ___.",Recall probability of impossible event.,FillInBlank,"0,0.5,1",A,135,1,CCSS.MATH.CONTENT.7.SP.C.5,Probability of event,CCSS.MATH.MP.8 CCSS.MATH.DOM.SP
Maths,Grade 7,"Circumference of a circle = ___ × diameter.",Complete formula (use pi).,FillInBlank,"2,3.14,radius",B,160,1,CCSS.MATH.CONTENT.7.G.B.4,Circumference formula,CCSS.MATH.MP.8 CCSS.MATH.DOM.G
Maths,Grade 7,"A 20% tip on a 50 bill is ___.",Percent application.,FillInBlank,"5,10,15",B,165,2,CCSS.MATH.CONTENT.7.RP.A.3,Percent of quantity,CCSS.MATH.MP.2 CCSS.MATH.DOM.RP
Maths,Grade 7,"A survey of 100 people found 60 prefer A. The experimental probability of preferring A is ___%. {math_fitb_g7_q6.png}",Word problem: image shows bar graph; find probability.,FillInBlank,"40,50,60",C,175,2,CCSS.MATH.CONTENT.7.SP.C.6,Experimental probability,CCSS.MATH.MP.4 CCSS.MATH.DOM.SP
Maths,Grade 7,"−12 ÷ 4 = ___. Also −15 ÷ 3 = ___.",Divide integers; two blanks.,FillInBlank,"-3,3,4; -5,5,6","A;A",158,2,CCSS.MATH.CONTENT.7.NS.A.2,Divide integers,CCSS.MATH.MP.2 CCSS.MATH.DOM.NS
Maths,Grade 7,"The scale factor from 2 cm to 6 cm is ___. From 3 cm to 9 cm is ___.",Find scale factors; two blanks.,FillInBlank,"2,3,4; 2,3,4","B;B",188,2,CCSS.MATH.CONTENT.7.G.A.1,Scale drawings,CCSS.MATH.MP.6 CCSS.MATH.DOM.G
Maths,Grade 7,"A car travels 120 km on 8 L of fuel. Fuel consumption is ___ km per liter.",Word problem: unit rate.,FillInBlank,"12,15,18",B,172,2,CCSS.MATH.CONTENT.7.RP.A.1,Unit rate word problem,CCSS.MATH.MP.1 CCSS.MATH.DOM.RP
Maths,Grade 7,"If x + 3 = 8 then x = ___. If x − 2 = 5 then x = ___.",Solve two equations; two blanks.,FillInBlank,"4,5,6; 6,7,8","B;B",170,2,CCSS.MATH.CONTENT.7.EE.B.4,Solve two-step equations,CCSS.MATH.MP.3 CCSS.MATH.DOM.EE
Maths,Grade 8,"The square root of 81 is ___.",Find square root.,FillInBlank,"8,9,10",B,140,1,CCSS.MATH.CONTENT.8.EE.A.2,Square roots,CCSS.MATH.MP.7 CCSS.MATH.DOM.EE
Maths,Grade 8,"The slope of the line through (0, 0) and (2, 4) is ___.",Find slope from two points.,FillInBlank,"1,2,4",B,175,2,CCSS.MATH.CONTENT.8.EE.B.6,Slope of line,CCSS.MATH.MP.4 CCSS.MATH.DOM.EE
Maths,Grade 8,"A cylinder has ___ circular base(s).",Identify solid figure property.,FillInBlank,"1,2,3",B,125,1,CCSS.MATH.CONTENT.8.G.C.9,Volume of cylinder,CCSS.MATH.MP.7 CCSS.MATH.DOM.G
Maths,Grade 8,"The solution to 2x + 1 = 9 is x = ___.",Solve linear equation.,FillInBlank,"3,4,5",B,160,1,CCSS.MATH.CONTENT.8.EE.C.7,Solve linear equation one variable,CCSS.MATH.MP.1 CCSS.MATH.DOM.EE
Maths,Grade 8,"In the equation y = 2x + 3 the y-intercept is ___.",Identify y-intercept from equation.,FillInBlank,"2,3,5",B,168,1,CCSS.MATH.CONTENT.8.F.A.3,Linear function intercept,CCSS.MATH.MP.6 CCSS.MATH.DOM.F
Maths,Grade 8,"A ball is dropped from 64 m. After 1 second it has fallen about 5 m. The height after 2 seconds is about ___ m. {math_fitb_g8_q6.png}",Word problem: image shows height-time; estimate.,FillInBlank,"15,20,25",B,210,2,CCSS.MATH.CONTENT.8.F.B.4,Model with function,CCSS.MATH.MP.4 CCSS.MATH.DOM.F
Maths,Grade 8,"In a right triangle with legs 3 and 4 the hypotenuse is ___. With legs 6 and 8 it is ___.",Pythagorean theorem; two blanks.,FillInBlank,"5,6,7; 9,10,11","A;B",180,2,CCSS.MATH.CONTENT.8.G.B.6,Pythagorean theorem,CCSS.MATH.MP.8 CCSS.MATH.DOM.G
Maths,Grade 8,"Scatter plot shows positive ___: as x increases y increases.",Describe association.,FillInBlank,"correlation,outlier,median",A,178,2,CCSS.MATH.CONTENT.8.SP.A.1,Fit scatter plot association,CCSS.MATH.MP.4 CCSS.MATH.DOM.SP
Maths,Grade 8,"A 20 price raised by 25% is ___. A 40 price raised by 50% is ___.",Percent increase; two blanks.,FillInBlank,"22,25,30; 50,60,70","B;B",185,2,CCSS.MATH.CONTENT.7.RP.A.3,Percent increase,CCSS.MATH.MP.1 CCSS.MATH.DOM.RP
Maths,Grade 8,"The number 10⁻² equals ___. The number 10⁻¹ equals ___.",Evaluate negative exponents; two blanks.,FillInBlank,"0.01,0.1,-100; 0.1,1,10","A;B",178,2,CCSS.MATH.CONTENT.8.EE.A.1,Negative exponent,CCSS.MATH.MP.6 CCSS.MATH.DOM.EE
Maths,Grade 9,"The solution set of x + 5 = 5 is x = ___.",Solve equation.,FillInBlank,"-5,0,10",B,155,1,CCSS.MATH.CONTENT.HSA.REI.A.1,Solve linear equation,CCSS.MATH.MP.2 CCSS.MATH.A-REI
Maths,Grade 9,"For the function f(x) = x² the value f(−3) = ___.",Evaluate function.,FillInBlank,"-9,6,9",C,165,1,CCSS.MATH.CONTENT.HSF.IF.A.2,Evaluate function notation,CCSS.MATH.MP.7 CCSS.MATH.F-IF
Maths,Grade 9,"The axis of symmetry of the parabola y = x² is the ___.",Identify axis.,FillInBlank,"x-axis,y-axis,origin",B,185,2,CCSS.MATH.CONTENT.HSF.IF.C.7,Graph parabola,CCSS.MATH.MP.6 CCSS.MATH.F-IF
Maths,Grade 9,"Two lines with the same slope and different y-intercepts are ___.",Classify lines.,FillInBlank,"perpendicular,parallel,intersecting",B,175,1,CCSS.MATH.CONTENT.HSG.GPE.B.5,Parallel lines,CCSS.MATH.MP.7 CCSS.MATH.G-GPE
Maths,Grade 9,"The discriminant of x² + 4x + 4 = 0 is ___.",Find discriminant.,FillInBlank,"0,4,8",A,210,2,CCSS.MATH.CONTENT.HSA.REI.B.4,Quadratic formula discriminant,CCSS.MATH.MP.2 CCSS.MATH.A-REI
Maths,Grade 9,"A car travels at 60 km/h. In 2.5 hours it travels ___ km. {math_fitb_g9_q6.png}",Word problem: image shows speed and time; distance.,FillInBlank,"120,150,180",B,170,2,CCSS.MATH.CONTENT.HSN.Q.A.1,Model with quantity,CCSS.MATH.MP.4 CCSS.MATH.N-Q
Maths,Grade 9,"In a 30-60-90 triangle the side opposite 30° is ___ the hypotenuse.",Recall special right triangle ratio.,FillInBlank,"half,equal to,twice",A,195,2,CCSS.MATH.CONTENT.HSG.SRT.C.8,Special right triangles,CCSS.MATH.MP.8 CCSS.MATH.G-SRT
Maths,Grade 9,"If x = 2 then 2x + 1 = ___. If x = 3 then 2x + 1 = ___.",Evaluate expression; two blanks.,FillInBlank,"4,5,6; 6,7,8","B;B",165,2,CCSS.MATH.CONTENT.HSA.CED.A.2,Linear expression,CCSS.MATH.MP.6 CCSS.MATH.A-CED
Maths,Grade 9,"A bag has 3 red and 2 blue. P(red) = ___. P(blue) = ___.",Simple probability; two blanks.,FillInBlank,"1/5,2/5,3/5; 1/5,2/5,3/5","C;B",172,2,CCSS.MATH.CONTENT.HSS.CP.A.1,Probability of event,CCSS.MATH.MP.4 CCSS.MATH.S-CP
Maths,Grade 9,"1000 at 10% for 1 year earns ___ interest. For 2 years it earns ___.",Simple interest; two blanks.,FillInBlank,"100,200,220; 100,200,220","A;B",192,2,CCSS.MATH.CONTENT.HSN.Q.A.2,Simple interest,CCSS.MATH.MP.1 CCSS.MATH.N-Q
Maths,Grade 10,"log₁₀(100) = ___. Also log₁₀(1000) = ___.",Evaluate common logarithms; two blanks.,FillInBlank,"1,2,10; 2,3,4","B;B",200,2,CCSS.MATH.CONTENT.HSF.LE.A.4,Logarithm definition,CCSS.MATH.MP.7 CCSS.MATH.F-LE
Maths,Grade 10,"The range of f(x) = x² for real x is y ≥ ___.",Find range of parabola.,FillInBlank,"-1,0,1",B,205,2,CCSS.MATH.CONTENT.HSF.IF.B.5,Domain and range,CCSS.MATH.MP.6 CCSS.MATH.F-IF
Maths,Grade 10,"In a right triangle sin(angle) = opposite over ___.",Complete trig ratio.,FillInBlank,"adjacent,hypotenuse,opposite",B,175,1,CCSS.MATH.CONTENT.HSG.SRT.C.6,Define trig ratios,CCSS.MATH.MP.8 CCSS.MATH.G-SRT
Maths,Grade 10,"The vertex of y = (x − 2)² + 1 is at (___ , 1).",Find vertex x-coordinate.,FillInBlank,"0,1,2",C,185,2,CCSS.MATH.CONTENT.HSF.IF.C.7,Vertex form of quadratic,CCSS.MATH.MP.7 CCSS.MATH.F-IF
Maths,Grade 10,"If A and B are independent then P(A and B) = P(A) × ___.",Probability rule.,FillInBlank,"P(A),P(B),P(B|A)",B,215,2,CCSS.MATH.CONTENT.HSS.CP.A.2,Independent events,CCSS.MATH.MP.3 CCSS.MATH.S-CP
Maths,Grade 10,"A rectangle has length 8 and width 5. Its area is ___. {math_fitb_g10_q6.png}",Word problem: image shows rectangle; area.,FillInBlank,"13,35,40",C,160,1,CCSS.MATH.CONTENT.HSG.GPE.B.7,Area of rectangle,CCSS.MATH.MP.4 CCSS.MATH.G-GPE
Maths,Grade 10,"The sum 1+2+...+n = n(n+1)/___. For n=3 the sum is ___.",Series formula; two blanks.,FillInBlank,"1,2,3; 4,5,6","B;C",225,2,CCSS.MATH.CONTENT.HSA.SSE.B.4,Series formula,CCSS.MATH.MP.8 CCSS.MATH.A-SSE
Maths,Grade 10,"The midline of y = sin x is y = ___.",Identify midline of sine.,FillInBlank,"-1,0,1",B,198,1,CCSS.MATH.CONTENT.HSF.TF.B.5,Trig function properties,CCSS.MATH.MP.7 CCSS.MATH.F-TF
Maths,Grade 10,"A population grows 5% per year. After one year the multiplier is ___.",Exponential growth.,FillInBlank,"0.05,1.05,1.5",B,200,2,CCSS.MATH.CONTENT.HSF.LE.A.1,Exponential growth model,CCSS.MATH.MP.4 CCSS.MATH.F-LE
Maths,Grade 10,"The conjugate of 3+4i is 3−___i. The conjugate of 2+5i is 2−___i.",Complex conjugates; two blanks.,FillInBlank,"3,4,-4; 5,6,-5","B;B",212,2,CCSS.MATH.CONTENT.HSN.CN.A.3,Complex conjugate,CCSS.MATH.MP.6 CCSS.MATH.N-CN
Maths,Grade 11,"The derivative of x³ is ___ x².",Power rule (calculus or pattern).,FillInBlank,"2,3,4",B,240,2,CCSS.MATH.CONTENT.HSF.BF.A.1,Rate of change pattern,CCSS.MATH.MP.7 CCSS.MATH.F-BF
Maths,Grade 11,"In the unit circle cos(π) = ___. Also cos(0) = ___.",Unit circle; two blanks.,FillInBlank,"-1,0,1; -1,0,1","A;B",190,2,CCSS.MATH.CONTENT.HSF.TF.A.2,Unit circle,CCSS.MATH.MP.8 CCSS.MATH.F-TF
Maths,Grade 11,"The general form of a linear equation is Ax + By = ___.",Complete standard form (constant).,FillInBlank,"0,1,C",C,170,1,CCSS.MATH.CONTENT.HSG.GPE.B.5,Line in coordinate plane,CCSS.MATH.MP.6 CCSS.MATH.G-GPE
