Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,dokLevel,standard,contentFocus,Competencies
Maths,Grade 3,What is the perimeter of a square with side length 5 units?,Find perimeter of polygons.,MCQ,10 units,15 units,20 units,25 units,C,190,2,CCSS.MATH.CONTENT.3.MD.D.8,perimeter,"CCSS.MATH.MP.2, CCSS.MATH.DOM.MD"
Maths,Grade 3,Liam read 18 pages on Monday and 27 pages on Tuesday. How many pages did he read in all?,Addition word problem within 1000.,MCQ,35,45,55,60,B,180,2,CCSS.MATH.CONTENT.3.NBT.A.2,add within 1000,"CCSS.MATH.MP.1, CCSS.MATH.DOM.NBT"
Maths,Grade 3,"A chart shows: dogs 8, cats 6, fish 4. Which group is smallest?",Interpret data in a picture or bar graph.,MCQ,dogs,cats,fish,all are equal,C,160,1,CCSS.MATH.CONTENT.3.MD.B.3,interpret data displays,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD"
Maths,Grade 3,What number makes the equation true? 9 × □ = 63,Find an unknown whole number.,MCQ,6,7,8,9,B,240,3,CCSS.MATH.CONTENT.3.OA.A.4,unknown factor,"CCSS.MATH.MP.2, CCSS.MATH.DOM.OA"
Maths,Grade 4,What is 347 + 589?,Add multi-digit whole numbers.,MCQ,836,926,936,946,C,180,2,CCSS.MATH.CONTENT.4.NBT.B.4,multi-digit addition,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 4,What is 63 × 48?,Multiply multi-digit numbers.,MCQ,3024,2924,3048,3124,A,250,2,CCSS.MATH.CONTENT.4.NBT.B.5,multi-digit multiplication,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 4,Which angle is obtuse? {img:math_g4_q3.png},"The image shows four labeled angles A, B, C, D with one angle greater than 90 degrees.",MCQ,Angle A,Angle B,Angle C,Angle D,B,150,1,CCSS.MATH.CONTENT.4.MD.C.5,classify angles,"CCSS.MATH.MP.5, CCSS.MATH.DOM.MD"
Maths,Grade 4,A ribbon is 3 feet long. Sam cuts off 8 inches. How many inches of ribbon are left?,Convert units and subtract in a word problem.,MCQ,20 inches,28 inches,32 inches,44 inches,B,260,3,CCSS.MATH.CONTENT.4.MD.A.1,convert and solve measurement problems,"CCSS.MATH.MP.2, CCSS.MATH.DOM.MD"
Maths,Grade 4,Which fraction is equivalent to 3/5?,Generate equivalent fractions.,MCQ,06-Oct,Sep-25,05-Mar,03-Oct,A,190,2,CCSS.MATH.CONTENT.4.NF.A.1,equivalent fractions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.NF"
Maths,Grade 4,Which fraction is greater?,Compare 3/4 and 2/3.,MCQ,03-Apr,02-Mar,They are equal,Cannot tell,A,210,2,CCSS.MATH.CONTENT.4.NF.A.2,compare fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF"
Maths,Grade 4,Lines that never meet are called,Identify basic geometry terms.,MCQ,perpendicular,parallel,intersecting,curved,B,140,1,CCSS.MATH.CONTENT.4.G.A.1,lines and angles vocabulary,"CCSS.MATH.MP.6, CCSS.MATH.DOM.G"
Maths,Grade 4,A class collected 125 cans on Monday and 178 cans on Tuesday. How many cans did they collect in all?,Add multi-digit numbers in a word problem.,MCQ,203,293,303,313,C,190,2,CCSS.MATH.CONTENT.4.NBT.B.4,multi-digit addition word problem,"CCSS.MATH.MP.1, CCSS.MATH.DOM.NBT"
Maths,Grade 4,Which is a factor pair of 24?,Find factor pairs.,MCQ,5 and 19,6 and 4,8 and 2,12 and 1,B,160,1,CCSS.MATH.CONTENT.4.OA.B.4,factors and multiples,"CCSS.MATH.MP.7, CCSS.MATH.DOM.OA"
Maths,Grade 4,"A pattern starts 4, 7, 10, 13, __. What number comes next?",Generate a number pattern.,MCQ,14,15,16,17,B,180,2,CCSS.MATH.CONTENT.4.OA.C.5,patterns and rules,"CCSS.MATH.MP.8, CCSS.MATH.DOM.OA"
Maths,Grade 5,What is 4.35 + 2.7?,Add decimals to the hundredths.,MCQ,7.05,7.15,6.95,6.05,A,190,2,CCSS.MATH.CONTENT.5.NBT.B.7,add decimals,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 5,What is 3.4 × 0.5?,Multiply decimals.,MCQ,1.2,1.7,0.17,17,B,180,2,CCSS.MATH.CONTENT.5.NBT.B.7,multiply decimals,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NBT"
Maths,Grade 5,What are the coordinates of point P? {img:math_g5_q3.png},"The image shows a coordinate grid with point P at (2,4).",MCQ,"(4,2)","(2,4)","(2,3)","(3,2)",B,150,1,CCSS.MATH.CONTENT.5.G.A.1,read ordered pairs,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 5,A tank holds 3 1/2 gallons. It already has 1 3/4 gallons. How many more gallons are needed to fill the tank?,Subtract mixed numbers in a word problem.,MCQ,1 1/4,1 3/4,2 1/4,2 3/4,A,280,3,CCSS.MATH.CONTENT.5.NF.B.3,subtract mixed numbers,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF"
Maths,Grade 5,What is 2/3 of 9?,Multiply a fraction by a whole number.,MCQ,3,6,9,12,B,170,2,CCSS.MATH.CONTENT.5.NF.B.4,fraction times whole number,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NF"
Maths,Grade 5,"What is the volume of a rectangular prism with length 4, width 3, and height 5?",Find volume using unit cubes and formulas.,MCQ,12 cubic units,20 cubic units,60 cubic units,120 cubic units,C,200,2,CCSS.MATH.CONTENT.5.MD.C.5,volume of rectangular prism,"CCSS.MATH.MP.4, CCSS.MATH.DOM.MD"
Maths,Grade 5,Evaluate: 6 + 3 × 4,Use order of operations.,MCQ,36,18,24,15,B,150,1,CCSS.MATH.CONTENT.5.OA.A.1,order of operations,"CCSS.MATH.MP.6, CCSS.MATH.DOM.OA"
Maths,Grade 5,A runner runs 2.5 miles each day for 4 days. How many miles does the runner run in all?,Multiply decimals in a word problem.,MCQ,7.5,9,10,12.5,C,210,2,CCSS.MATH.CONTENT.5.NBT.B.7,multiply decimals in context,"CCSS.MATH.MP.4, CCSS.MATH.DOM.NBT"
Maths,Grade 5,3 meters is equal to,Convert within the metric system.,MCQ,30 centimeters,300 centimeters,3000 centimeters,3 centimeters,B,140,1,CCSS.MATH.CONTENT.5.MD.A.1,convert metric units,"CCSS.MATH.MP.6, CCSS.MATH.DOM.MD"
Maths,Grade 5,A line plot shows the lengths of ribbons (in feet): 1/2 occurs 3 times and 1 occurs 2 times. What is the total length?,Add data shown on a line plot.,MCQ,2 1/2,3 1/2,4,5,B,220,2,CCSS.MATH.CONTENT.5.MD.B.2,line plot with fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.MD"
Maths,Grade 6,Evaluate: 5^2,Use exponents to write and evaluate powers.,MCQ,10,25,7,52,B,140,1,CCSS.MATH.CONTENT.6.EE.A.1,evaluate exponents,"CCSS.MATH.MP.6, CCSS.MATH.DOM.EE"
Maths,Grade 6,Evaluate: 3(4 + 2),Use numerical expressions with parentheses.,MCQ,18,14,12,9,A,160,1,CCSS.MATH.CONTENT.6.EE.A.2,evaluate expressions,"CCSS.MATH.MP.6, CCSS.MATH.DOM.EE"
Maths,Grade 6,What are the coordinates of point Q? {img:math_g6_q3.png},"The image shows a coordinate grid with point Q at (-3,2).",MCQ,"(-3,2)","(3,-2)","(-2,3)","(2,-3)",A,170,1,CCSS.MATH.CONTENT.6.NS.C.6,plot points in all quadrants,"CCSS.MATH.MP.5, CCSS.MATH.DOM.NS"
Maths,Grade 6,A recipe uses 3 cups of flour for 2 loaves of bread. How many cups of flour are needed for 5 loaves?,Solve a ratio and proportion word problem.,MCQ,7.5,6,5,10,A,240,3,CCSS.MATH.CONTENT.6.RP.A.3,use ratios to solve problems,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP"
Maths,Grade 6,What is 3/4 ÷ 1/2?,Divide fractions by fractions.,MCQ,03-Aug,1 1/2,01-Mar,2 1/2,B,210,2,CCSS.MATH.CONTENT.6.NS.A.1,divide fractions,"CCSS.MATH.MP.2, CCSS.MATH.DOM.NS"
Maths,Grade 6,What is −7 + 12?,Add integers.,MCQ,−19,−5,5,19,C,150,1,CCSS.MATH.CONTENT.6.NS.C.5,integer addition,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS"
Maths,Grade 6,What is the area of a triangle with base 10 and height 6?,Find area of a triangle.,MCQ,16,30,60,120,B,190,2,CCSS.MATH.CONTENT.6.G.A.1,area of triangles,"CCSS.MATH.MP.4, CCSS.MATH.DOM.G"
Maths,Grade 6,"A student scored 4, 6, 6, and 8 points on four quizzes. What is the mean score?",Find mean in a word problem.,MCQ,5,6,6.5,7,B,200,2,CCSS.MATH.CONTENT.6.SP.B.5.C,mean of a data set,"CCSS.MATH.MP.2, CCSS.MATH.DOM.SP"
Maths,Grade 6,Solve for x: x/3 = 7,Solve one-step equations.,MCQ,10,21,4,28,B,160,1,CCSS.MATH.CONTENT.6.EE.B.7,solve equations,"CCSS.MATH.MP.6, CCSS.MATH.DOM.EE"
Maths,Grade 6,Which value satisfies the inequality x + 5 > 12?,Test solutions to an inequality.,MCQ,6,7,8,5,C,190,2,CCSS.MATH.CONTENT.6.EE.B.8,inequalities and solutions,"CCSS.MATH.MP.3, CCSS.MATH.DOM.EE"
Maths,Grade 7,What is (−6) × (−4)?,Multiply integers.,MCQ,−24,24,−10,10,B,150,1,CCSS.MATH.CONTENT.7.NS.A.2,multiply integers,"CCSS.MATH.MP.6, CCSS.MATH.DOM.NS"
Maths,Grade 7,Solve: 3x − 5 = 16,Solve a two-step linear equation.,MCQ,x = 7,x = 11,x = 5,x = −7,A,190,2,CCSS.MATH.CONTENT.7.EE.B.4,solve linear equations,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE"
Maths,Grade 7,"In the diagram, which angles are vertical angles? {img:math_g7_q3.png}","The image shows two intersecting lines forming angles 1, 2, 3, 4.",MCQ,Angle 1 and Angle 2,Angle 1 and Angle 3,Angle 2 and Angle 3,Angle 2 and Angle 4,B,200,2,CCSS.MATH.CONTENT.7.G.B.5,angle relationships,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 7,"A map scale is 1 inch = 5 miles. On the map, two towns are 3 inches apart. How far apart are the towns?",Use proportional reasoning in a word problem.,MCQ,8 miles,15 miles,20 miles,25 miles,B,210,2,CCSS.MATH.CONTENT.7.RP.A.2,unit rate and scale,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP"
Maths,Grade 7,80 increased by 25% equals,Find percent increase.,MCQ,85,90,100,105,C,200,2,CCSS.MATH.CONTENT.7.RP.A.3,percent increase,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP"
Maths,Grade 7,A bag has 3 red marbles and 2 blue marbles. What is the probability of choosing a red marble?,Compute probability of a simple event.,MCQ,02-May,03-May,01-Feb,03-Feb,B,190,2,CCSS.MATH.CONTENT.7.SP.C.7,simple probability,"CCSS.MATH.MP.2, CCSS.MATH.DOM.SP"
Maths,Grade 7,Simplify: 2(3x + 4) − x,Combine like terms.,MCQ,5x + 4,6x + 8,7x + 8,5x + 8,D,210,2,CCSS.MATH.CONTENT.7.EE.A.1,simplify expressions,"CCSS.MATH.MP.7, CCSS.MATH.DOM.EE"
Maths,Grade 7,A rectangular garden is 12 meters long and 8 meters wide. What is its area?,Area word problem for rectangles.,MCQ,20 m^2,40 m^2,96 m^2,120 m^2,C,160,1,CCSS.MATH.CONTENT.7.G.B.6,area of rectangles,"CCSS.MATH.MP.4, CCSS.MATH.DOM.G"
Maths,Grade 7,Solve the inequality: −2x < 10,Solve inequalities.,MCQ,x < −5,x > −5,x < 5,x > 5,C,250,3,CCSS.MATH.CONTENT.7.EE.B.4,solve inequalities,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE"
Maths,Grade 7,Which table shows a proportional relationship with constant of proportionality 4?,Identify proportional relationships.,MCQ,"x:1,2,3 y:4,8,12","x:1,2,3 y:5,9,13","x:1,2,3 y:4,9,16","x:2,4,6 y:4,8,12",A,190,2,CCSS.MATH.CONTENT.7.RP.A.2,proportional relationships,"CCSS.MATH.MP.2, CCSS.MATH.DOM.RP"
Maths,Grade 8,"Find the slope of the line through (2,3) and (6,11).",Compute slope from two points.,MCQ,1,2,3,4,B,210,2,CCSS.MATH.CONTENT.8.EE.B.5,slope from points,"CCSS.MATH.MP.2, CCSS.MATH.DOM.EE"
Maths,Grade 8,Solve: 2(3x − 4) = 10,Solve a linear equation.,MCQ,x = 1,x = 3,x = 2,x = 7,C,200,2,CCSS.MATH.CONTENT.8.EE.C.7,solve linear equations,"CCSS.MATH.MP.6, CCSS.MATH.DOM.EE"
Maths,Grade 8,What is the length of the hypotenuse? {img:math_g8_q3.png},The image shows a right triangle with legs 6 and 8.,MCQ,10,12,14,16,A,180,2,CCSS.MATH.CONTENT.8.G.B.7,Pythagorean theorem,"CCSS.MATH.MP.5, CCSS.MATH.DOM.G"
Maths,Grade 8,A taxi charges a $3 start fee plus $2 per mile. Which equation gives the total cost C for m miles?,Model a linear relationship in a word problem.,MCQ,C = 3m + 2,C = 2m + 3,C = 3 + 2/m,C = 2 + 3m,B,260,3,CCSS.MATH.CONTENT.8.F.B.4,linear functions in context,"CCSS.MATH.MP.4, CCSS.MATH.DOM.F"
Maths,Grade 8,Which relationship is a function?,Identify functions from ordered pairs.,MCQ,"(1,2), (1,3)","(2,5), (3,5)","(4,1), (4,1)","(6,2), (6,4)",B,170,2,CCSS.MATH.CONTENT.8.F.A.1,function definition,"CCSS.MATH.MP.2, CCSS.MATH.DOM.F"
Maths,Grade 8,A scatter plot shows points that rise from left to right. This suggests,Describe association in bivariate data.,MCQ,no association,negative association,positive association,a perfect circle,C,190,2,CCSS.MATH.CONTENT.8.SP.A.1,patterns in scatter plots,"CCSS.MATH.MP.4, CCSS.MATH.DOM.SP"
Maths,Grade 8,Simplify: (2^3)(2^5),Use properties of exponents.,MCQ,2^8,2^15,2^2,4^8,A,150,1,CCSS.MATH.CONTENT.8.EE.A.1,exponent properties,"CCSS.MATH.MP.7, CCSS.MATH.DOM.EE"
Maths,Grade 8,An ice cream cone has radius 3 cm and height 4 cm. What is its volume? Use V = (1/3)πr^2h.,Volume of a cone word problem.,MCQ,12π cm^3,36π cm^3,48π cm^3,108π cm^3,B,220,2,CCSS.MATH.CONTENT.8.G.C.9,volume of cones,"CCSS.MATH.MP.2, CCSS.MATH.DOM.G"
Maths,Grade 8,Solve the system: x + y = 10 and x − y = 2,Solve a system of linear equations.,MCQ,"(6,4)","(4,6)","(5,5)","(8,2)",A,210,2,CCSS.MATH.CONTENT.8.EE.C.8,systems of equations,"CCSS.MATH.MP.1, CCSS.MATH.DOM.EE"
Maths,Grade 8,"A point (x,y) is translated 3 units right and 2 units down. The new point is",Describe a translation on the coordinate plane.,MCQ,"(x+3, y+2)","(x−3, y−2)","(x+3, y−2)","(x−3, y+2)",C,180,2,CCSS.MATH.CONTENT.8.G.A.1,transformations on plane,"CCSS.MATH.MP.6, CCSS.MATH.DOM.G"
Maths,Grade 9,Solve: 5x + 3 = 28,Solve a linear equation.,MCQ,x = 5,x = 6,x = 7,x = 8,B,170,1,CCSS.MATH.CONTENT.HSA.REI.B.3,solve linear equations,"CCSS.MATH.MP.6, CCSS.MATH.A-REI"
Maths,Grade 9,"For y = −2x + 5, what is the slope?",Interpret slope from a linear equation.,MCQ,5,−2,2,−5,B,180,1,CCSS.MATH.CONTENT.HSF.IF.C.7,interpret slope in linear function,"CCSS.MATH.MP.2, CCSS.MATH.F-IF"
Maths,Grade 9,What is the y-intercept of the graphed line? {img:math_g9_q3.png},The image shows a line crossing the y-axis at 3.,MCQ,−3,0,3,6,C,190,2,CCSS.MATH.CONTENT.HSF.IF.C.7,read intercepts from graph,"CCSS.MATH.MP.5, CCSS.MATH.F-IF"
Maths,Grade 9,A gym charges a $15 sign-up fee plus $20 per month. Which expression represents the total cost after m months?,Create an equation for a word problem.,MCQ,15m + 20,20m + 15,35m,m/20 + 15,B,200,2,CCSS.MATH.CONTENT.HSA.CED.A.1,write expressions for situations,"CCSS.MATH.MP.4, CCSS.MATH.A-CED"
Maths,Grade 9,Solve the system: x + y = 7 and x − y = 1,Solve a system of linear equations.,MCQ,"(4,3)","(3,4)","(7,1)","(1,7)",A,210,2,CCSS.MATH.CONTENT.HSA.REI.C.6,solve systems algebraically,"CCSS.MATH.MP.1, CCSS.MATH.A-REI"
Maths,Grade 9,Which is the correct factorization of x^2 + 5x + 6?,Factor a quadratic polynomial.,MCQ,(x+1)(x+6),(x+2)(x+3),(x−2)(x−3),(x+2)(x−3),B,200,2,CCSS.MATH.CONTENT.HSA.APR.A.1,factor quadratics,"CCSS.MATH.MP.7, CCSS.MATH.A-APR"
Maths,Grade 9,What is the domain of f(x) = x^2?,Identify the domain of a function.,MCQ,all real numbers,x ≥ 0,x ≤ 0,0 ≤ x ≤ 1,A,160,1,CCSS.MATH.CONTENT.HSF.IF.A.1,domain of functions,"CCSS.MATH.MP.2, CCSS.MATH.F-IF"
Maths,Grade 9,A ball's height is h(t) = −16t^2 + 32t + 5. What is h(1)?,Evaluate a function in a word problem.,MCQ,21,19,5,−16,A,220,2,CCSS.MATH.CONTENT.HSF.IF.B.2,evaluate functions,"CCSS.MATH.MP.2, CCSS.MATH.F-IF"
Maths,Grade 9,Simplify: (3^2)(3^4),Use properties of exponents.,MCQ,3^6,3^8,9^4,6^3,B,170,1,CCSS.MATH.CONTENT.HSA.SSE.A.1.A,interpret and simplify expressions,"CCSS.MATH.MP.7, CCSS.MATH.A-SSE"
Maths,Grade 9,Solve: 2x − 3 > 7,Solve a linear inequality.,MCQ,x > 2,x > 5,x < 5,x < 2,B,200,2,CCSS.MATH.CONTENT.HSA.REI.B.3,solve linear inequalities,"CCSS.MATH.MP.3, CCSS.MATH.A-REI"
Maths,Grade 10,A right triangle has legs 9 and 12. What is the hypotenuse?,Use the Pythagorean Theorem.,MCQ,15,21,12,9,A,190,2,CCSS.MATH.CONTENT.HSG.SRT.C.8,Pythagorean theorem,"CCSS.MATH.MP.2, CCSS.MATH.G-SRT"
Maths,Grade 10,"If two parallel lines are cut by a transversal and one angle is 65°, the alternate interior angle is",Use angle relationships with parallel lines.,MCQ,25°,65°,115°,130°,B,170,1,CCSS.MATH.CONTENT.HSG.CO.C.9,angles with parallel lines,"CCSS.MATH.MP.6, CCSS.MATH.G-CO"
Maths,Grade 10,What is the midpoint of segment AB? {img:math_g10_q3.png},"The image shows points A(2,1) and B(8,5) on a coordinate grid.",MCQ,"(5,3)","(10,6)","(3,2)","(6,4)",A,200,2,CCSS.MATH.CONTENT.HSG.GPE.B.6,midpoint on coordinate plane,"CCSS.MATH.MP.5, CCSS.MATH.G-GPE"
Maths,Grade 10,A cylindrical can has radius 4 cm and height 10 cm. What is its volume? Use V = πr^2h.,Volume word problem using a cylinder.,MCQ,40π cm^3,80π cm^3,160π cm^3,400π cm^3,C,220,2,CCSS.MATH.CONTENT.HSG.GMD.A.3,volume of cylinders,"CCSS.MATH.MP.4, CCSS.MATH.G-GMD"
Maths,Grade 10,Which criterion is sufficient to prove two triangles congruent?,Identify triangle congruence criteria.,MCQ,AAA,SSA,SAS,AAS,C,200,2,CCSS.MATH.CONTENT.HSG.CO.B.8,triangle congruence,"CCSS.MATH.MP.3, CCSS.MATH.G-CO"
Maths,Grade 10,Solve: x^2 − 6x + 5 = 0,Solve a quadratic equation.,MCQ,x = 1 or 5,x = −1 or −5,x = 2 or 3,x = −2 or −3,A,240,2,CCSS.MATH.CONTENT.HSA.REI.B.4.B,solve quadratics,"CCSS.MATH.MP.2, CCSS.MATH.A-REI"
Maths,Grade 10,"Two similar triangles have a scale factor from small to large of 3/2. If a small side is 6, the matching large side is",Use similarity and scale factor.,MCQ,8,9,10,12,B,190,2,CCSS.MATH.CONTENT.HSG.SRT.A.1,scale factor in similar figures,"CCSS.MATH.MP.2, CCSS.MATH.G-SRT"
Maths,Grade 10,A small rectangle is 4 by 6. A similar larger rectangle has width 10. What is its height?,Use similarity in a word problem.,MCQ,12,15,16,18,B,250,3,CCSS.MATH.CONTENT.HSG.SRT.A.1,similar figures word problem,"CCSS.MATH.MP.1, CCSS.MATH.G-SRT"
Maths,Grade 10,What is sin(30°)?,Know and use trigonometric ratios.,MCQ,01-Feb,√3/2,√2/2,1,A,150,1,CCSS.MATH.CONTENT.HSG.SRT.C.6,trigonometric ratios,"CCSS.MATH.MP.6, CCSS.MATH.G-SRT"
Maths,Grade 10,"If events A and B are independent, P(A)=0.4 and P(B)=0.5. What is P(A and B)?",Compute probability of independent events.,MCQ,0.2,0.9,0.4,0.5,A,210,2,CCSS.MATH.CONTENT.HSS.CP.A.2,independent probabilities,"CCSS.MATH.MP.2, CCSS.MATH.S-CP"
